<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/romanian#ro-sent'>ro_sent</a>,<a href='https://euroeval.com/datasets/romanian#ronec'>ronec</a>,<a href='https://euroeval.com/datasets/romanian#scala-ro'>scala_ro</a>,<a href='https://euroeval.com/datasets/romanian#multi-wiki-qa-ro'>multi_wiki_qa_ro</a>,ro_sent_version,ronec_version,scala_ro_version,multi_wiki_qa_ro_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.85,?,256128.0,1048576.0,✓,✗,✗,✓,96.79 ± 1.11 / 98.39 ± 0.55,41.39 ± 1.27 / 32.67 ± 0.96,74.19 ± 1.92 / 86.72 ± 0.98,64.80 ± 1.09 / 30.93 ± 1.97,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.85,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,97.53 ± 0.32 / 98.76 ± 0.16,44.96 ± 1.08 / 37.38 ± 1.32,56.98 ± 1.69 / 78.40 ± 0.88,75.86 ± 1.04 / 54.39 ± 1.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.88,?,?,400000.0,✓,✗,✗,✓,95.81 ± 0.77 / 97.88 ± 0.39,45.25 ± 0.66 / 34.45 ± 0.55,64.45 ± 1.72 / 80.12 ± 0.99,62.75 ± 0.89 / 34.64 ± 1.17,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.88,?,256128.0,1048576.0,✓,✗,✗,✓,94.99 ± 1.43 / 97.49 ± 0.71,47.06 ± 1.22 / 34.91 ± 0.82,61.01 ± 2.06 / 80.17 ± 1.12,65.60 ± 1.93 / 39.99 ± 2.02,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.89,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,96.97 ± 0.99 / 98.46 ± 0.52,50.91 ± 2.00 / 47.05 ± 1.79,43.28 ± 1.85 / 70.65 ± 0.72,76.89 ± 1.05 / 55.85 ± 1.63,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.90,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,96.40 ± 0.72 / 98.20 ± 0.36,48.50 ± 1.15 / 45.15 ± 1.05,56.68 ± 1.60 / 77.82 ± 0.81,67.08 ± 0.68 / 35.33 ± 0.81,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.91,?,?,?,✓,✗,✗,✓,96.11 ± 0.61 / 98.04 ± 0.31,41.98 ± 0.74 / 33.41 ± 0.64,63.80 ± 2.01 / 81.86 ± 1.00,67.25 ± 0.74 / 39.76 ± 1.07,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.92,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,97.56 ± 0.41 / 98.78 ± 0.21,52.34 ± 2.18 / 48.35 ± 1.85,45.18 ± 2.23 / 71.70 ± 1.55,73.72 ± 1.03 / 49.96 ± 1.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.93,?,256128.0,1048576.0,✓,✗,✗,✓,95.43 ± 1.44 / 97.69 ± 0.73,43.78 ± 1.09 / 31.66 ± 0.83,65.29 ± 1.87 / 81.88 ± 0.97,60.14 ± 1.39 / 25.80 ± 1.74,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.93,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,97.74 ± 0.34 / 98.87 ± 0.17,46.68 ± 1.61 / 42.20 ± 1.37,52.97 ± 1.88 / 76.21 ± 1.00,70.04 ± 1.09 / 47.07 ± 1.34,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.95,?,?,400000.0,✓,✗,✗,✓,95.73 ± 0.67 / 97.84 ± 0.34,44.77 ± 0.57 / 34.75 ± 0.59,62.02 ± 1.47 / 77.97 ± 1.07,66.05 ± 0.72 / 38.73 ± 0.96,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.95,?,?,200000.0,✓,✗,✗,✓,96.80 ± 1.13 / 98.39 ± 0.57,45.63 ± 1.38 / 40.33 ± 1.26,55.06 ± 2.65 / 73.19 ± 1.90,64.90 ± 1.37 / 34.81 ± 1.89,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.95,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,95.77 ± 2.21 / 97.86 ± 1.12,45.91 ± 1.65 / 44.98 ± 1.71,47.36 ± 3.00 / 72.08 ± 2.32,76.12 ± 1.55 / 55.74 ± 2.01,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.95,?,100256.0,272000.0,✓,✗,✗,✓,97.10 ± 1.29 / 98.55 ± 0.65,46.17 ± 1.19 / 35.10 ± 1.01,56.89 ± 3.72 / 75.20 ± 2.36,64.92 ± 1.40 / 38.73 ± 2.17,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.96,?,256128.0,1048576.0,✓,✗,✗,✓,96.82 ± 0.97 / 98.39 ± 0.49,42.26 ± 1.06 / 30.16 ± 0.85,67.42 ± 1.97 / 83.60 ± 0.94,60.14 ± 1.39 / 25.80 ± 1.74,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.97,?,256128.0,1048576.0,✓,✗,✗,✓,94.79 ± 0.59 / 97.37 ± 0.30,43.15 ± 0.64 / 31.04 ± 0.53,64.62 ± 1.39 / 82.15 ± 0.70,60.32 ± 0.94 / 29.23 ± 1.16,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.98,?,?,?,✓,✗,✗,✓,95.78 ± 1.10 / 97.88 ± 0.55,43.15 ± 1.09 / 31.78 ± 0.91,60.90 ± 2.45 / 79.94 ± 1.16,65.21 ± 1.37 / 31.75 ± 2.24,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.99,?,256128.0,1048576.0,✓,✗,✗,✓,95.38 ± 1.15 / 97.68 ± 0.58,43.78 ± 1.05 / 33.61 ± 0.74,59.69 ± 1.81 / 79.57 ± 0.97,61.86 ± 1.77 / 28.92 ± 1.94,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.99,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,96.98 ± 0.25 / 98.48 ± 0.13,44.38 ± 1.10 / 37.08 ± 1.02,49.03 ± 1.43 / 72.78 ± 1.25,75.44 ± 0.85 / 54.08 ± 1.33,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.99,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,96.27 ± 1.09 / 98.11 ± 0.57,49.78 ± 1.90 / 46.99 ± 1.80,40.76 ± 0.65 / 68.04 ± 0.95,74.16 ± 1.47 / 54.64 ± 1.79,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,2.00,?,256128.0,1048576.0,✓,✗,✗,✓,96.72 ± 1.21 / 98.35 ± 0.60,43.29 ± 1.20 / 31.52 ± 0.93,60.68 ± 2.72 / 79.91 ± 1.42,62.88 ± 1.66 / 34.80 ± 2.06,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,2.00,?,?,131072.0,✓,✗,✗,✓,97.50 ± 0.54 / 98.74 ± 0.27,43.35 ± 0.65 / 34.49 ± 0.58,50.90 ± 2.46 / 71.46 ± 1.51,68.06 ± 0.85 / 42.37 ± 0.98,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,2.01,?,?,400000.0,✓,✗,✗,✓,95.93 ± 0.60 / 97.96 ± 0.30,43.52 ± 0.56 / 35.18 ± 0.47,58.31 ± 1.31 / 76.00 ± 0.93,64.18 ± 0.73 / 35.38 ± 1.05,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.01,561192082.0,250002.0,512.0,✓,✗,(✓),✓,80.98 ± 17.64 / 88.81 ± 12.06,78.55 ± 0.84 / 78.36 ± 0.85,44.03 ± 18.49 / 67.89 ± 12.82,27.48 ± 1.40 / 20.21 ± 1.14,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,2.03,575922690.0,250300.0,512.0,✓,✗,(✓),✓,90.66 ± 1.33 / 95.32 ± 0.66,76.87 ± 0.74 / 76.35 ± 0.76,35.45 ± 17.02 / 64.15 ± 11.67,33.05 ± 1.22 / 25.30 ± 1.17,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.04,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,94.73 ± 1.56 / 97.33 ± 0.79,42.40 ± 1.45 / 39.33 ± 1.73,51.71 ± 4.27 / 74.83 ± 2.51,71.97 ± 1.86 / 48.23 ± 2.68,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.04,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,97.63 ± 0.35 / 98.81 ± 0.18,48.84 ± 1.68 / 47.85 ± 1.69,38.25 ± 1.73 / 67.50 ± 1.41,76.35 ± 1.36 / 56.76 ± 2.49,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.06,?,?,400000.0,✓,✗,✗,✓,97.22 ± 0.56 / 98.58 ± 0.29,40.62 ± 0.60 / 29.57 ± 0.47,54.42 ± 1.52 / 76.70 ± 0.87,68.03 ± 0.74 / 42.68 ± 1.10,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.07,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,82.92 ± 1.90 / 91.25 ± 1.10,73.47 ± 1.20 / 72.89 ± 1.22,50.45 ± 4.68 / 74.92 ± 2.31,24.81 ± 1.03 / 17.67 ± 1.06,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.08,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,94.94 ± 0.69 / 97.45 ± 0.35,47.50 ± 1.04 / 47.04 ± 0.99,36.62 ± 1.48 / 65.54 ± 0.98,74.56 ± 0.74 / 54.10 ± 1.04,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,2.08,?,?,1047576.0,✓,✗,✗,✓,95.00 ± 1.20 / 97.49 ± 0.60,40.56 ± 0.88 / 31.96 ± 0.86,57.94 ± 2.33 / 78.79 ± 1.18,64.76 ± 1.41 / 33.25 ± 1.64,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.08,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,91.14 ± 0.98 / 95.42 ± 0.52,45.42 ± 1.07 / 42.16 ± 1.20,42.67 ± 1.34 / 71.14 ± 0.70,72.98 ± 0.63 / 51.88 ± 1.00,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.09,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,91.94 ± 1.69 / 95.84 ± 0.92,43.70 ± 0.82 / 38.72 ± 0.71,48.07 ± 2.09 / 72.46 ± 1.22,68.01 ± 0.86 / 42.74 ± 1.02,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.11,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,95.77 ± 0.70 / 97.84 ± 0.37,45.21 ± 2.00 / 42.77 ± 2.16,37.64 ± 4.47 / 68.39 ± 2.07,75.64 ± 1.93 / 56.26 ± 2.30,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.13,?,?,400000.0,✓,✗,✗,✓,92.45 ± 0.83 / 96.20 ± 0.42,42.72 ± 0.77 / 30.99 ± 0.57,52.20 ± 1.94 / 72.30 ± 1.21,63.01 ± 0.66 / 32.43 ± 0.89,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
