<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/serbian#mms-sr'>mms_sr</a>,<a href='https://euroeval.com/datasets/serbian#uner-sr'>uner_sr</a>,<a href='https://euroeval.com/datasets/serbian#scala-sr'>scala_sr</a>,<a href='https://euroeval.com/datasets/serbian#multi-wiki-qa-sr'>multi_wiki_qa_sr</a>,<a href='https://euroeval.com/datasets/serbian#lr-sum-sr'>lr_sum_sr</a>,<a href='https://euroeval.com/datasets/serbian#mmlu-sr'>mmlu_sr</a>,<a href='https://euroeval.com/datasets/serbian#winogrande-sr'>winogrande_sr</a>,mms_sr_version,uner_sr_version,scala_sr_version,multi_wiki_qa_sr_version,lr_sum_sr_version,mmlu_sr_version,winogrande_sr_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.17,?,256128.0,1048576.0,✓,✗,✗,✓,49.61 ± 3.03 / 63.19 ± 2.16,80.51 ± 1.14 / 80.51 ± 1.14,81.14 ± 2.02 / 90.29 ± 1.06,64.13 ± 0.84 / 36.82 ± 1.15,30.06 ± 0.24 / 34.54 ± 0.28,87.86 ± 1.87 / 90.90 ± 1.39,76.26 ± 3.77 / 88.20 ± 1.89,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.21,?,?,200000.0,✓,✗,✗,✓,48.01 ± 3.41 / 59.39 ± 2.54,87.60 ± 0.98 / 87.60 ± 0.98,66.43 ± 2.41 / 82.84 ± 1.25,62.12 ± 1.35 / 36.05 ± 1.47,28.31 ± 0.21 / 33.61 ± 0.24,91.40 ± 1.56 / 93.55 ± 1.17,78.70 ± 2.93 / 89.69 ± 1.46,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.30,?,256128.0,1048576.0,✓,✗,✗,✓,50.38 ± 3.33 / 63.74 ± 2.55,84.81 ± 0.73 / 84.81 ± 0.73,72.98 ± 3.39 / 86.05 ± 1.79,59.02 ± 0.81 / 28.90 ± 1.34,26.85 ± 0.13 / 32.22 ± 0.16,87.55 ± 2.08 / 90.66 ± 1.56,63.95 ± 4.88 / 82.58 ± 2.26,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.36,?,256128.0,1048576.0,✓,✗,✗,✓,45.33 ± 3.76 / 58.01 ± 2.88,83.15 ± 0.91 / 83.15 ± 0.91,78.24 ± 2.44 / 89.07 ± 1.25,59.02 ± 0.81 / 28.90 ± 1.34,28.81 ± 0.15 / 33.53 ± 0.19,85.22 ± 1.98 / 88.91 ± 1.48,57.10 ± 4.60 / 77.73 ± 2.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.42,?,256128.0,1048576.0,✓,✗,✗,✓,46.13 ± 1.71 / 60.06 ± 1.21,80.47 ± 0.59 / 80.47 ± 0.59,79.48 ± 0.98 / 89.55 ± 0.49,60.84 ± 0.54 / 33.72 ± 0.71,27.96 ± 0.09 / 33.18 ± 0.10,81.11 ± 1.19 / 85.82 ± 0.89,50.94 ± 3.15 / 76.56 ± 1.51,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.43,?,100256.0,272000.0,✓,✗,✗,✓,46.86 ± 3.31 / 56.89 ± 2.34,73.15 ± 1.45 / 73.15 ± 1.45,67.09 ± 2.94 / 82.69 ± 1.46,65.59 ± 0.54 / 41.22 ± 0.95,27.28 ± 0.19 / 32.54 ± 0.24,84.32 ± 2.66 / 88.20 ± 2.03,64.33 ± 3.53 / 82.89 ± 1.52,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.49,?,?,131072.0,✓,✗,✗,✓,47.32 ± 1.47 / 57.63 ± 1.21,79.23 ± 0.74 / 79.23 ± 0.74,59.27 ± 1.29 / 77.14 ± 0.60,63.97 ± 0.60 / 41.57 ± 0.79,28.48 ± 0.14 / 33.17 ± 0.16,82.40 ± 0.67 / 86.72 ± 0.53,59.60 ± 1.71 / 80.00 ± 0.68,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.50,?,?,?,✓,✗,✗,✓,42.97 ± 1.91 / 58.50 ± 1.34,80.97 ± 0.52 / 80.97 ± 0.52,68.97 ± 1.59 / 83.71 ± 0.85,60.68 ± 0.44 / 31.68 ± 0.53,28.08 ± 0.08 / 33.21 ± 0.09,79.68 ± 1.17 / 84.65 ± 0.88,62.00 ± 2.38 / 81.09 ± 1.18,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.60,?,?,200000.0,✓,✗,✗,✓,48.01 ± 2.69 / 60.80 ± 2.04,85.69 ± 1.02 / 85.69 ± 1.02,46.33 ± 3.05 / 65.28 ± 2.57,63.43 ± 1.01 / 37.20 ± 1.72,29.79 ± 0.23 / 34.33 ± 0.29,59.05 ± 2.51 / 66.72 ± 2.09,60.20 ± 3.02 / 75.16 ± 2.42,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
