<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/romanian#ro-sent'>ro_sent</a>,<a href='https://euroeval.com/datasets/romanian#ronec'>ronec</a>,<a href='https://euroeval.com/datasets/romanian#scala-ro'>scala_ro</a>,<a href='https://euroeval.com/datasets/romanian#multi-wiki-qa-ro'>multi_wiki_qa_ro</a>,<a href='https://euroeval.com/datasets/romanian#sumo-ro'>sumo_ro</a>,<a href='https://euroeval.com/datasets/romanian#global-mmlu-ro'>global_mmlu_ro</a>,<a href='https://euroeval.com/datasets/romanian#winogrande-ro'>winogrande_ro</a>,ro_sent_version,ronec_version,scala_ro_version,multi_wiki_qa_ro_version,sumo_ro_version,global_mmlu_ro_version,winogrande_ro_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.50,?,256128.0,1048576.0,✓,✗,✗,✓,96.79 ± 1.11 / 98.39 ± 0.55,41.39 ± 1.27 / 32.67 ± 0.96,74.19 ± 1.92 / 86.72 ± 0.98,64.80 ± 1.09 / 30.93 ± 1.97,37.55 ± 0.33 / 40.69 ± 0.35,91.92 ± 1.47 / 93.95 ± 1.10,79.01 ± 5.65 / 90.16 ± 2.70,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.59,?,?,200000.0,✓,✗,✗,✓,96.80 ± 1.13 / 98.39 ± 0.57,45.63 ± 1.38 / 40.33 ± 1.26,55.06 ± 2.65 / 73.19 ± 1.90,64.90 ± 1.37 / 34.81 ± 1.89,36.26 ± 0.44 / 40.01 ± 0.48,90.36 ± 1.27 / 92.77 ± 0.95,80.30 ± 3.97 / 90.94 ± 1.79,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.62,?,256128.0,1048576.0,✓,✗,✗,✓,95.43 ± 1.44 / 97.69 ± 0.73,43.78 ± 1.09 / 31.66 ± 0.83,65.29 ± 1.87 / 81.88 ± 0.97,60.14 ± 1.39 / 25.80 ± 1.74,36.51 ± 0.28 / 40.39 ± 0.29,90.06 ± 1.54 / 92.54 ± 1.16,70.92 ± 4.64 / 86.17 ± 2.27,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.67,?,?,131072.0,✓,✗,✗,✓,97.50 ± 0.54 / 98.74 ± 0.27,43.35 ± 0.65 / 34.49 ± 0.58,50.90 ± 2.46 / 71.46 ± 1.51,68.06 ± 0.85 / 42.37 ± 0.98,36.49 ± 0.18 / 39.70 ± 0.19,88.81 ± 0.58 / 91.60 ± 0.43,70.12 ± 1.80 / 85.08 ± 0.86,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.67,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,96.40 ± 0.72 / 98.20 ± 0.36,48.50 ± 1.15 / 45.15 ± 1.05,56.68 ± 1.60 / 77.82 ± 0.81,67.08 ± 0.68 / 35.33 ± 0.81,36.75 ± 0.17 / 38.83 ± 0.22,76.85 ± 0.96 / 82.66 ± 0.73,66.70 ± 3.25 / 83.83 ± 1.53,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.67,?,256128.0,1048576.0,✓,✗,✗,✓,96.82 ± 0.97 / 98.39 ± 0.49,42.26 ± 1.06 / 30.16 ± 0.85,67.42 ± 1.97 / 83.60 ± 0.94,60.14 ± 1.39 / 25.80 ± 1.74,37.11 ± 0.28 / 40.48 ± 0.30,89.53 ± 1.34 / 92.11 ± 1.01,66.52 ± 4.17 / 83.91 ± 2.03,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.69,?,?,400000.0,✓,✗,✗,✓,95.81 ± 0.77 / 97.88 ± 0.39,45.25 ± 0.66 / 34.45 ± 0.55,64.45 ± 1.72 / 80.12 ± 0.99,62.75 ± 0.89 / 34.64 ± 1.17,37.14 ± 0.23 / 40.09 ± 0.24,88.06 ± 0.89 / 91.02 ± 0.67,54.63 ± 2.11 / 78.20 ± 0.89,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.76,?,?,?,✓,✗,✗,✓,96.11 ± 0.61 / 98.04 ± 0.31,41.98 ± 0.74 / 33.41 ± 0.64,63.80 ± 2.01 / 81.86 ± 1.00,67.25 ± 0.74 / 39.76 ± 1.07,35.87 ± 0.25 / 39.75 ± 0.26,82.77 ± 0.74 / 86.99 ± 0.56,56.36 ± 2.20 / 78.83 ± 1.11,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.77,?,?,400000.0,✓,✗,✗,✓,95.73 ± 0.67 / 97.84 ± 0.34,44.77 ± 0.57 / 34.75 ± 0.59,62.02 ± 1.47 / 77.97 ± 1.07,66.05 ± 0.72 / 38.73 ± 0.96,37.00 ± 0.19 / 39.93 ± 0.20,89.98 ± 0.56 / 92.46 ± 0.42,49.80 ± 2.19 / 74.22 ± 1.09,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
