<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/hungarian#husst'>husst</a>,<a href='https://euroeval.com/datasets/hungarian#szeged-ner'>szeged_ner</a>,<a href='https://euroeval.com/datasets/hungarian#scala-hu'>scala_hu</a>,<a href='https://euroeval.com/datasets/hungarian#multi-wiki-qa-hu'>multi_wiki_qa_hu</a>,<a href='https://euroeval.com/datasets/hungarian#hunsum'>hunsum</a>,<a href='https://euroeval.com/datasets/hungarian#mmlu-hu'>mmlu_hu</a>,<a href='https://euroeval.com/datasets/hungarian#winogrande-hu'>winogrande_hu</a>,husst_version,szeged_ner_version,scala_hu_version,multi_wiki_qa_hu_version,hunsum_version,mmlu_hu_version,winogrande_hu_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.36,?,256128.0,1048576.0,✓,✗,✗,✓,50.84 ± 2.82 / 62.36 ± 2.43,65.00 ± 1.80 / 60.35 ± 1.70,79.09 ± 1.72 / 88.82 ± 0.93,65.70 ± 1.27 / 45.32 ± 1.97,34.53 ± 0.32 / 38.05 ± 0.33,80.19 ± 1.76 / 85.12 ± 1.31,82.78 ± 3.41 / 91.64 ± 1.68,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.51,?,?,400000.0,✓,✗,✗,✓,40.61 ± 1.14 / 56.42 ± 0.72,78.51 ± 1.07 / 68.83 ± 1.18,68.79 ± 1.79 / 84.30 ± 0.90,62.71 ± 0.72 / 42.18 ± 1.07,33.30 ± 0.16 / 36.66 ± 0.15,81.56 ± 0.66 / 86.21 ± 0.49,64.91 ± 2.60 / 83.05 ± 1.31,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.51,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,59.56 ± 1.62 / 71.07 ± 1.37,76.62 ± 1.46 / 75.20 ± 1.36,59.70 ± 1.80 / 79.58 ± 0.93,66.59 ± 0.81 / 45.50 ± 1.17,33.42 ± 0.20 / 35.69 ± 0.24,72.64 ± 1.15 / 79.49 ± 0.85,67.74 ± 1.31 / 84.06 ± 0.63,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.52,?,?,200000.0,✓,✗,✗,✓,46.15 ± 2.51 / 60.87 ± 2.64,72.24 ± 1.55 / 70.05 ± 1.62,68.18 ± 3.23 / 83.65 ± 1.75,65.54 ± 1.44 / 44.06 ± 2.28,32.91 ± 0.28 / 36.92 ± 0.30,85.53 ± 1.30 / 89.14 ± 0.99,70.44 ± 4.21 / 85.86 ± 2.09,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.55,?,256128.0,1048576.0,✓,✗,✗,✓,49.26 ± 2.89 / 63.52 ± 2.08,71.19 ± 1.95 / 48.75 ± 1.53,74.15 ± 2.37 / 86.76 ± 1.22,61.42 ± 1.62 / 39.70 ± 2.46,33.91 ± 0.33 / 37.49 ± 0.35,81.51 ± 1.53 / 86.13 ± 1.12,61.45 ± 3.61 / 80.70 ± 1.71,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.56,?,256128.0,1048576.0,✓,✗,✗,✓,52.75 ± 3.26 / 66.17 ± 2.57,69.30 ± 1.84 / 59.81 ± 1.93,73.42 ± 1.65 / 85.46 ± 1.02,61.65 ± 1.62 / 39.70 ± 2.46,32.82 ± 0.33 / 37.34 ± 0.33,82.06 ± 1.03 / 86.48 ± 0.74,61.81 ± 4.79 / 81.41 ± 2.49,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.61,?,?,400000.0,✓,✗,✗,✓,43.27 ± 1.15 / 58.29 ± 0.80,74.83 ± 1.33 / 62.01 ± 1.02,67.89 ± 1.34 / 83.75 ± 0.68,61.01 ± 0.74 / 41.47 ± 1.27,33.39 ± 0.12 / 36.70 ± 0.12,80.37 ± 0.95 / 85.31 ± 0.71,62.42 ± 3.01 / 81.88 ± 1.46,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.63,?,256128.0,1048576.0,✓,✗,✗,✓,49.65 ± 1.53 / 61.99 ± 1.22,65.36 ± 0.78 / 47.03 ± 0.72,69.59 ± 1.40 / 84.00 ± 0.78,62.79 ± 0.80 / 41.49 ± 1.24,33.19 ± 0.18 / 37.43 ± 0.18,76.69 ± 0.97 / 82.46 ± 0.73,56.07 ± 2.93 / 78.75 ± 1.30,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.65,?,?,400000.0,✓,✗,✗,✓,44.43 ± 1.16 / 60.20 ± 0.91,75.64 ± 1.00 / 67.24 ± 0.94,68.94 ± 1.11 / 84.33 ± 0.57,62.32 ± 0.72 / 41.07 ± 1.26,33.34 ± 0.17 / 36.78 ± 0.16,79.20 ± 0.84 / 84.45 ± 0.63,48.96 ± 2.28 / 75.55 ± 1.15,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
