<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/lithuanian#atsiliepimai'>atsiliepimai</a>,<a href='https://euroeval.com/datasets/lithuanian#wikiann-lt'>wikiann_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#scala-lt'>scala_lt</a>,<a href='https://euroeval.com/datasets/lithuanian#multi-wiki-qa-lt'>multi_wiki_qa_lt</a>,atsiliepimai_version,wikiann_lt_version,scala_lt_version,multi_wiki_qa_lt_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.43,?,256128.0,1048576.0,✓,✗,✗,✓,46.35 ± 1.79 / 55.07 ± 1.60,65.55 ± 2.42 / 65.55 ± 2.42,64.96 ± 2.23 / 80.52 ± 1.55,59.18 ± 1.03 / 34.73 ± 1.56,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.56,?,?,?,✓,✗,✗,✓,47.92 ± 0.96 / 56.30 ± 0.89,61.15 ± 1.13 / 61.15 ± 1.13,59.11 ± 1.51 / 78.53 ± 0.84,56.23 ± 0.78 / 28.20 ± 0.70,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.58,?,?,400000.0,✓,✗,✗,✓,42.22 ± 1.03 / 46.39 ± 1.13,67.22 ± 1.00 / 67.22 ± 1.00,56.33 ± 1.71 / 77.69 ± 0.83,61.08 ± 0.51 / 36.63 ± 0.66,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.62,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,48.20 ± 1.52 / 61.51 ± 2.28,69.51 ± 1.55 / 69.51 ± 1.55,33.50 ± 2.02 / 65.56 ± 1.78,74.07 ± 1.76 / 54.62 ± 2.18,16.7.1.dev0,16.3.0.dev0,16.5.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.63,?,256128.0,1048576.0,✓,✗,✗,✓,45.33 ± 1.81 / 52.43 ± 1.79,63.34 ± 2.30 / 63.34 ± 2.30,57.82 ± 3.29 / 75.64 ± 1.93,52.91 ± 1.21 / 25.23 ± 1.42,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.65,?,256128.0,1048576.0,✓,✗,✗,✓,43.73 ± 1.84 / 50.31 ± 1.72,64.89 ± 2.04 / 64.89 ± 2.04,60.29 ± 2.11 / 79.26 ± 1.26,52.91 ± 1.21 / 25.23 ± 1.42,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.66,?,?,400000.0,✓,✗,✗,✓,41.34 ± 0.97 / 46.17 ± 0.80,68.36 ± 1.31 / 68.36 ± 1.31,53.61 ± 1.85 / 76.46 ± 0.90,55.06 ± 0.41 / 33.02 ± 0.54,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.68,?,100256.0,272000.0,✓,✗,✗,✓,41.05 ± 2.07 / 45.94 ± 2.06,67.12 ± 2.01 / 67.12 ± 2.01,56.77 ± 2.25 / 78.27 ± 1.08,54.42 ± 0.98 / 32.04 ± 1.37,16.7.1.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.68,?,256128.0,1048576.0,✓,✗,✗,✓,46.47 ± 1.03 / 53.32 ± 0.92,64.62 ± 1.27 / 64.62 ± 1.27,52.41 ± 1.97 / 73.97 ± 1.18,56.45 ± 0.50 / 29.88 ± 0.55,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
