<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/greek#greek-sa'>greek_sa</a>,<a href='https://euroeval.com/datasets/greek#elner'>elner</a>,<a href='https://euroeval.com/datasets/greek#scala-el'>scala_el</a>,<a href='https://euroeval.com/datasets/greek#multi-wiki-qa-el'>multi_wiki_qa_el</a>,<a href='https://euroeval.com/datasets/greek#greek-wikipedia'>greek_wikipedia</a>,<a href='https://euroeval.com/datasets/greek#global-mmlu-el'>global_mmlu_el</a>,<a href='https://euroeval.com/datasets/greek#winogrande-el'>winogrande_el</a>,greek_sa_version,elner_version,scala_el_version,multi_wiki_qa_el_version,greek_wikipedia_version,global_mmlu_el_version,winogrande_el_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.22,?,256128.0,1048576.0,✓,✗,✗,✓,81.97 ± 2.87 / 90.89 ± 1.46,78.37 ± 0.93 / 56.71 ± 1.35,66.99 ± 2.34 / 82.20 ± 1.42,62.25 ± 1.09 / 26.25 ± 1.23,32.37 ± 0.30 / 34.84 ± 0.38,89.88 ± 1.65 / 92.42 ± 1.24,79.37 ± 3.55 / 90.23 ± 1.80,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.26,?,256128.0,1048576.0,✓,✗,✗,✓,79.07 ± 2.98 / 89.44 ± 1.52,77.77 ± 1.01 / 54.76 ± 0.73,66.70 ± 2.80 / 83.25 ± 1.43,62.25 ± 1.09 / 26.25 ± 1.23,30.23 ± 0.37 / 31.20 ± 0.40,88.78 ± 1.60 / 91.56 ± 1.22,78.35 ± 4.00 / 89.53 ± 2.07,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.31,?,256128.0,1048576.0,✓,✗,✗,✓,78.66 ± 2.68 / 89.26 ± 1.39,77.21 ± 1.22 / 56.14 ± 1.29,54.39 ± 2.89 / 77.08 ± 1.49,63.98 ± 1.05 / 31.78 ± 1.16,31.97 ± 0.32 / 33.74 ± 0.38,91.95 ± 1.48 / 93.98 ± 1.10,81.52 ± 3.81 / 91.33 ± 1.89,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.32,?,?,200000.0,✓,✗,✗,✓,79.99 ± 3.83 / 89.96 ± 1.93,81.13 ± 1.26 / 54.93 ± 1.06,50.37 ± 3.15 / 73.43 ± 1.85,61.96 ± 1.03 / 30.47 ± 1.37,32.17 ± 0.31 / 33.83 ± 0.37,88.95 ± 0.94 / 91.72 ± 0.71,80.87 ± 3.07 / 90.86 ± 1.57,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.40,?,?,400000.0,✓,✗,✗,✓,77.58 ± 1.88 / 88.74 ± 0.94,80.26 ± 0.88 / 61.21 ± 0.69,57.93 ± 1.56 / 78.20 ± 0.84,63.96 ± 0.38 / 36.12 ± 0.74,31.73 ± 0.16 / 33.32 ± 0.19,87.78 ± 0.41 / 90.86 ± 0.31,60.04 ± 2.26 / 81.09 ± 1.09,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.45,?,?,131072.0,✓,✗,✗,✓,80.68 ± 1.98 / 90.30 ± 0.99,72.87 ± 0.72 / 53.57 ± 0.60,54.88 ± 1.68 / 75.99 ± 0.97,64.48 ± 0.49 / 39.70 ± 0.40,31.03 ± 0.13 / 33.10 ± 0.15,88.34 ± 0.39 / 91.25 ± 0.28,62.73 ± 2.68 / 80.94 ± 1.41,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.46,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,81.64 ± 1.66 / 90.74 ± 0.86,77.95 ± 0.99 / 68.07 ± 1.95,62.04 ± 1.96 / 80.58 ± 1.12,65.09 ± 0.71 / 32.13 ± 1.16,30.83 ± 0.20 / 31.77 ± 0.22,74.75 ± 1.66 / 81.09 ± 1.22,62.29 ± 2.65 / 81.02 ± 1.28,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.50,?,?,?,✓,✗,✗,✓,79.79 ± 1.76 / 89.82 ± 0.88,79.63 ± 0.29 / 55.93 ± 0.51,57.37 ± 1.66 / 76.46 ± 0.79,67.18 ± 0.38 / 39.31 ± 0.67,31.67 ± 0.19 / 33.26 ± 0.23,75.91 ± 1.23 / 81.95 ± 0.91,56.20 ± 2.51 / 78.52 ± 1.23,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.54,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,83.30 ± 1.24 / 91.36 ± 0.65,71.59 ± 1.23 / 56.46 ± 2.88,53.21 ± 4.05 / 74.98 ± 2.13,76.53 ± 1.97 / 55.41 ± 2.05,36.77 ± 1.36 / 37.08 ± 1.45,56.25 ± 0.78 / 66.77 ± 0.65,48.44 ± 2.31 / 74.22 ± 1.13,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
