<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/polish#polemo2'>polemo2</a>,<a href='https://euroeval.com/datasets/polish#kpwr-ner'>kpwr_ner</a>,<a href='https://euroeval.com/datasets/polish#scala-pl'>scala_pl</a>,<a href='https://euroeval.com/datasets/polish#poquad'>poquad</a>,polemo2_version,kpwr_ner_version,scala_pl_version,poquad_version
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.55,?,?,400000.0,✓,✗,✗,✓,82.85 ± 0.86 / 83.09 ± 0.90,78.64 ± 0.63 / 63.95 ± 0.95,60.74 ± 1.64 / 80.27 ± 0.82,47.13 ± 0.37 / 27.77 ± 0.72,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.58,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,96.92 ± 0.89 / 97.28 ± 0.80,72.58 ± 1.60 / 69.47 ± 1.67,59.77 ± 1.53 / 79.68 ± 0.78,46.57 ± 0.56 / 22.56 ± 0.85,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.58,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,97.77 ± 0.45 / 98.15 ± 0.39,64.37 ± 1.04 / 54.98 ± 2.17,45.02 ± 4.81 / 69.91 ± 4.45,63.87 ± 3.11 / 38.46 ± 2.04,16.5.0.dev0,16.3.0.dev0,16.5.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.59,?,?,400000.0,✓,✗,✗,✓,81.41 ± 0.89 / 81.11 ± 0.90,75.67 ± 0.62 / 62.45 ± 0.91,64.15 ± 1.20 / 81.95 ± 0.59,45.95 ± 0.36 / 25.98 ± 0.65,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.60,?,256128.0,1048576.0,✓,✗,✗,✓,80.17 ± 1.85 / 79.37 ± 2.00,71.92 ± 2.44 / 57.65 ± 1.84,69.86 ± 3.77 / 84.11 ± 2.11,44.34 ± 1.01 / 20.08 ± 1.49,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.60,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,96.20 ± 0.53 / 96.90 ± 0.45,59.68 ± 1.09 / 51.99 ± 2.32,48.72 ± 2.37 / 72.48 ± 1.34,66.94 ± 3.64 / 40.96 ± 2.91,16.5.0.dev0,16.2.2.dev0,16.5.0.dev0,16.2.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.60,?,256128.0,1048576.0,✓,✗,✗,✓,82.67 ± 1.55 / 82.73 ± 1.54,69.79 ± 1.92 / 63.14 ± 1.87,71.70 ± 3.69 / 85.32 ± 2.01,46.60 ± 0.86 / 22.35 ± 1.61,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.62,?,?,400000.0,✓,✗,✗,✓,82.06 ± 0.79 / 82.08 ± 0.84,73.35 ± 1.18 / 60.73 ± 1.12,63.28 ± 1.50 / 81.57 ± 0.75,46.48 ± 0.42 / 27.71 ± 0.54,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.63,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,98.20 ± 0.93 / 98.43 ± 0.83,61.68 ± 0.86 / 55.40 ± 0.78,41.17 ± 1.80 / 67.42 ± 1.26,66.72 ± 1.72 / 41.93 ± 1.90,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
