<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,<a href='https://euroeval.com/datasets/italian#ilpost-sum'>ilpost_sum</a>,<a href='https://euroeval.com/datasets/italian#mmlu-it'>mmlu_it</a>,<a href='https://euroeval.com/datasets/italian#hellaswag-it'>hellaswag_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.26,0.11,?,256128.0,1048576.0,✓,✗,✗,✓,75.60 ± 1.55 / 81.93 ± 1.32,73.24 ± 1.25 / 53.53 ± 1.50,80.08 ± 2.20 / 89.72 ± 1.13,73.99 ± 1.04 / 49.69 ± 1.09,37.89 ± 0.34 / 41.34 ± 0.33,85.13 ± 1.62 / 88.87 ± 1.23,81.22 ± 1.72 / 85.90 ± 1.32,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.30,2.19,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,72.07 ± 0.98 / 79.47 ± 0.95,80.41 ± 0.70 / 67.99 ± 0.57,75.49 ± 1.89 / 87.66 ± 0.94,72.44 ± 0.52 / 43.53 ± 0.86,38.37 ± 0.14 / 40.44 ± 0.21,81.23 ± 0.68 / 85.86 ± 0.52,78.23 ± 1.51 / 83.63 ± 1.15,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.37,92.06,?,256128.0,1048576.0,✓,✗,✗,✓,71.82 ± 1.80 / 79.30 ± 1.35,71.12 ± 1.49 / 45.49 ± 1.66,74.07 ± 1.88 / 85.80 ± 1.06,67.41 ± 0.96 / 32.27 ± 1.17,36.42 ± 0.31 / 40.12 ± 0.30,88.76 ± 0.77 / 91.52 ± 0.62,82.22 ± 2.18 / 86.64 ± 1.65,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.38,75.33,?,?,?,✓,✗,✗,✓,66.71 ± 0.76 / 76.79 ± 0.59,78.88 ± 0.76 / 55.79 ± 0.94,74.36 ± 1.23 / 86.60 ± 0.69,73.46 ± 0.49 / 48.95 ± 0.62,35.52 ± 0.20 / 40.16 ± 0.21,84.50 ± 0.82 / 88.44 ± 0.62,80.69 ± 1.11 / 85.47 ± 0.85,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.38,14.14,?,256128.0,1048576.0,✓,✗,✗,✓,69.78 ± 1.53 / 77.37 ± 1.39,65.56 ± 1.61 / 39.49 ± 0.97,77.58 ± 2.01 / 88.69 ± 1.02,67.41 ± 0.96 / 32.27 ± 1.17,36.47 ± 0.30 / 40.15 ± 0.30,89.24 ± 0.86 / 91.95 ± 0.65,82.73 ± 2.20 / 87.03 ± 1.66,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.39,77.27,?,256128.0,1048576.0,✓,✗,✗,✓,69.24 ± 1.05 / 77.51 ± 0.86,72.96 ± 0.79 / 45.43 ± 0.88,79.29 ± 0.87 / 89.18 ± 0.48,71.57 ± 0.58 / 43.10 ± 0.71,37.60 ± 0.19 / 41.52 ± 0.19,84.79 ± 0.83 / 88.55 ± 0.64,70.75 ± 1.16 / 77.97 ± 0.90,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.46,1.65,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,60.18 ± 2.24 / 71.68 ± 1.65,76.17 ± 2.09 / 58.41 ± 3.29,70.16 ± 3.18 / 84.11 ± 1.73,76.01 ± 1.63 / 53.45 ± 3.38,39.19 ± 0.20 / 42.72 ± 0.21,73.33 ± 2.68 / 80.12 ± 1.99,77.88 ± 2.18 / 83.16 ± 1.67,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.47,16.2,?,?,400000.0,✓,✗,✗,✓,68.44 ± 1.14 / 76.30 ± 0.89,80.88 ± 1.12 / 51.79 ± 0.77,62.31 ± 1.59 / 80.33 ± 0.85,73.01 ± 0.57 / 48.76 ± 0.67,38.11 ± 0.21 / 42.15 ± 0.21,83.73 ± 0.80 / 87.77 ± 0.62,64.77 ± 1.02 / 73.52 ± 0.77,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.48,0.48,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,67.44 ± 1.06 / 75.98 ± 1.03,78.44 ± 0.81 / 64.77 ± 0.69,66.16 ± 2.16 / 82.99 ± 1.09,70.68 ± 0.57 / 40.74 ± 1.08,38.42 ± 0.21 / 41.19 ± 0.21,75.17 ± 1.00 / 81.37 ± 0.77,68.20 ± 1.26 / 76.13 ± 0.94,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
