<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/icelandic#hotter-and-colder-sentiment'>hotter_and_colder_sentiment</a>,<a href='https://euroeval.com/datasets/icelandic#mim-gold-ner'>mim_gold_ner</a>,<a href='https://euroeval.com/datasets/icelandic#scala-is'>scala_is</a>,<a href='https://euroeval.com/datasets/icelandic#nqii'>nqii</a>,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.34,?,256128.0,1048576.0,✓,✗,✗,✓,65.21 ± 2.25 / 73.74 ± 1.80,75.87 ± 2.35 / 60.55 ± 2.12,69.88 ± 2.83 / 84.77 ± 1.40,52.42 ± 0.85 / 29.42 ± 0.92,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.48,?,100256.0,272000.0,✓,✗,✗,✓,58.07 ± 2.10 / 67.27 ± 1.57,85.47 ± 1.23 / 61.12 ± 2.48,59.65 ± 4.33 / 78.65 ± 2.35,49.99 ± 1.12 / 29.14 ± 1.11,15.16.0,15.16.0,15.16.0,15.16.0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.50,?,100256.0,272000.0,✓,✗,✗,✓,58.87 ± 2.28 / 67.92 ± 1.30,84.43 ± 1.71 / 62.47 ± 2.36,57.81 ± 4.60 / 77.00 ± 2.52,49.34 ± 1.10 / 29.52 ± 1.18,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.54,?,256128.0,1048576.0,✓,✗,✗,✓,63.57 ± 1.42 / 72.91 ± 1.05,74.85 ± 1.19 / 47.94 ± 0.92,59.17 ± 1.80 / 79.38 ± 0.94,46.56 ± 0.66 / 23.58 ± 0.48,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.60,?,?,?,✓,✗,✗,✓,54.39 ± 3.55 / 65.51 ± 2.43,86.91 ± 1.51 / 78.21 ± 2.20,56.61 ± 2.99 / 77.00 ± 1.65,49.15 ± 1.05 / 26.93 ± 1.30,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.61,?,?,400000.0,✓,✗,✗,✓,61.64 ± 1.48 / 72.61 ± 1.10,83.64 ± 0.82 / 68.85 ± 1.01,48.04 ± 1.49 / 72.03 ± 0.84,50.82 ± 0.51 / 30.25 ± 0.68,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.65,?,256128.0,1048576.0,✓,✗,✗,✓,58.44 ± 3.66 / 66.90 ± 2.55,74.50 ± 2.04 / 46.33 ± 1.53,61.88 ± 2.21 / 80.76 ± 1.08,46.43 ± 1.15 / 23.47 ± 1.14,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.66,?,?,200000.0,✓,✗,✗,✓,57.76 ± 2.47 / 69.67 ± 1.60,69.99 ± 1.94 / 51.18 ± 1.36,62.13 ± 3.12 / 80.62 ± 1.46,48.51 ± 1.37 / 28.22 ± 1.53,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.67,?,256128.0,1048576.0,✓,✗,✗,✓,60.14 ± 2.76 / 70.25 ± 2.00,77.08 ± 1.87 / 56.68 ± 1.99,56.16 ± 2.17 / 76.00 ± 1.27,46.43 ± 1.15 / 23.47 ± 1.14,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
