<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/hungarian#husst'>husst</a>,<a href='https://euroeval.com/datasets/hungarian#szeged-ner'>szeged_ner</a>,<a href='https://euroeval.com/datasets/hungarian#scala-hu'>scala_hu</a>,<a href='https://euroeval.com/datasets/hungarian#multi-wiki-qa-hu'>multi_wiki_qa_hu</a>,husst_version,szeged_ner_version,scala_hu_version,multi_wiki_qa_hu_version
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.54,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,66.43 ± 1.48 / 74.84 ± 1.47,74.46 ± 1.87 / 73.59 ± 1.57,48.86 ± 6.13 / 72.62 ± 4.72,73.61 ± 2.50 / 57.94 ± 2.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.57,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,59.56 ± 1.62 / 71.07 ± 1.37,76.62 ± 1.46 / 75.20 ± 1.36,59.70 ± 1.80 / 79.58 ± 0.93,66.59 ± 0.81 / 45.50 ± 1.17,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.59,?,256128.0,1048576.0,✓,✗,✗,✓,50.84 ± 2.82 / 62.36 ± 2.43,65.00 ± 1.80 / 60.35 ± 1.70,79.09 ± 1.72 / 88.82 ± 0.93,65.70 ± 1.27 / 45.32 ± 1.97,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.64,?,256128.0,1048576.0,✓,✗,✗,✓,52.75 ± 3.26 / 66.17 ± 2.57,69.30 ± 1.84 / 59.81 ± 1.93,73.42 ± 1.65 / 85.46 ± 1.02,61.65 ± 1.62 / 39.70 ± 2.46,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.65,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,65.07 ± 1.36 / 74.11 ± 1.58,70.67 ± 0.95 / 67.19 ± 1.24,52.08 ± 2.57 / 75.54 ± 1.63,65.99 ± 2.06 / 45.07 ± 2.10,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.67,?,256128.0,1048576.0,✓,✗,✗,✓,49.26 ± 2.89 / 63.52 ± 2.08,71.19 ± 1.95 / 48.75 ± 1.53,74.15 ± 2.37 / 86.76 ± 1.22,61.42 ± 1.62 / 39.70 ± 2.46,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.68,?,?,400000.0,✓,✗,✗,✓,44.43 ± 1.16 / 60.20 ± 0.91,75.64 ± 1.00 / 67.24 ± 0.94,68.94 ± 1.11 / 84.33 ± 0.57,62.32 ± 0.72 / 41.07 ± 1.26,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.68,?,?,400000.0,✓,✗,✗,✓,40.61 ± 1.14 / 56.42 ± 0.72,78.51 ± 1.07 / 68.83 ± 1.18,68.79 ± 1.79 / 84.30 ± 0.90,62.71 ± 0.72 / 42.18 ± 1.07,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.69,?,?,200000.0,✓,✗,✗,✓,46.15 ± 2.51 / 60.87 ± 2.64,72.24 ± 1.55 / 70.05 ± 1.62,68.18 ± 3.23 / 83.65 ± 1.75,65.54 ± 1.44 / 44.06 ± 2.28,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
