<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/norwegian#norec'>norec</a>,<a href='https://euroeval.com/datasets/norwegian#norne-nb'>norne_nb</a>,<a href='https://euroeval.com/datasets/norwegian#norne-nn'>norne_nn</a>,<a href='https://euroeval.com/datasets/norwegian#scala-nb'>scala_nb</a>,<a href='https://euroeval.com/datasets/norwegian#scala-nn'>scala_nn</a>,<a href='https://euroeval.com/datasets/norwegian#norquad'>norquad</a>,<a href='https://euroeval.com/datasets/norwegian#no-sammendrag'>no_sammendrag</a>,<a href='https://euroeval.com/datasets/norwegian#nrk-quiz-qa'>nrk_quiz_qa</a>,<a href='https://euroeval.com/datasets/norwegian#idioms-no'>idioms_no</a>,<a href='https://euroeval.com/datasets/norwegian#nor-common-sense-qa'>nor_common_sense_qa</a>,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,idioms_no_version,nor_common_sense_qa_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.19,0.05,?,256128.0,1048576.0,✓,✗,✗,✓,63.90 ± 2.34 / 74.24 ± 1.77,79.49 ± 1.84 / 67.98 ± 3.20,76.38 ± 2.92 / 66.08 ± 2.67,75.23 ± 2.21 / 87.41 ± 1.13,79.31 ± 2.22 / 89.50 ± 1.13,75.22 ± 0.44 / 50.20 ± 1.37,30.94 ± 0.29 / 34.96 ± 0.34,87.80 ± 1.63 / 91.05 ± 1.18,86.22 ± 1.44 / 89.57 ± 1.12,88.36 ± 3.34 / 90.78 ± 2.60,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.33,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.15 ± 1.98 / 68.34 ± 1.70,77.44 ± 1.06 / 61.35 ± 2.25,79.37 ± 2.27 / 64.07 ± 2.89,76.61 ± 2.50 / 88.28 ± 1.26,73.33 ± 1.73 / 86.53 ± 0.89,70.36 ± 0.79 / 43.69 ± 1.48,31.08 ± 0.27 / 35.43 ± 0.31,87.73 ± 1.63 / 91.02 ± 1.19,78.16 ± 1.27 / 83.67 ± 0.91,84.51 ± 2.92 / 87.66 ± 2.21,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.33,31.71,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,65.09 ± 1.30 / 74.51 ± 1.02,81.87 ± 0.59 / 75.83 ± 1.31,84.64 ± 0.73 / 78.51 ± 0.69,68.93 ± 1.43 / 84.38 ± 0.72,70.77 ± 0.85 / 85.28 ± 0.41,73.14 ± 0.39 / 46.47 ± 0.66,31.91 ± 0.18 / 34.55 ± 0.20,66.95 ± 1.32 / 75.70 ± 0.98,58.78 ± 1.94 / 68.95 ± 1.41,90.45 ± 1.58 / 92.34 ± 1.31,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.37,?,?,256128.0,1048576.0,✓,✗,✗,✓,64.09 ± 2.68 / 73.91 ± 2.14,75.50 ± 2.19 / 61.99 ± 3.33,73.02 ± 2.72 / 58.37 ± 2.79,70.45 ± 1.83 / 84.39 ± 1.00,60.93 ± 2.20 / 78.00 ± 1.64,70.36 ± 0.79 / 43.69 ± 1.48,29.91 ± 0.28 / 34.63 ± 0.30,87.62 ± 1.70 / 90.90 ± 1.24,80.46 ± 1.77 / 85.39 ± 1.31,87.18 ± 3.17 / 89.84 ± 2.47,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.38,11.91,?,?,400000.0,✓,✗,✗,✓,59.85 ± 1.50 / 71.34 ± 1.13,82.75 ± 0.66 / 72.21 ± 1.29,85.36 ± 0.82 / 77.85 ± 1.12,63.06 ± 0.79 / 81.07 ± 0.36,63.61 ± 1.04 / 80.49 ± 0.61,70.66 ± 0.37 / 41.70 ± 0.62,30.51 ± 0.15 / 34.53 ± 0.18,80.99 ± 0.70 / 85.86 ± 0.50,75.06 ± 0.96 / 81.25 ± 0.72,87.00 ± 1.22 / 89.38 ± 1.01,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.39,?,?,?,?,✓,✗,✗,✓,60.63 ± 2.59 / 71.46 ± 1.95,80.47 ± 1.36 / 77.68 ± 2.65,83.87 ± 1.72 / 80.95 ± 1.83,69.97 ± 2.98 / 84.09 ± 1.63,55.32 ± 2.70 / 77.02 ± 1.34,73.09 ± 0.71 / 46.29 ± 1.50,30.08 ± 0.25 / 34.64 ± 0.28,75.63 ± 1.94 / 82.07 ± 1.41,73.92 ± 1.79 / 80.39 ± 1.33,90.45 ± 3.56 / 92.34 ± 2.87,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.40,10.76,?,?,400000.0,✓,✗,✗,✓,57.52 ± 1.64 / 69.85 ± 1.23,82.16 ± 0.62 / 74.84 ± 1.25,83.77 ± 0.97 / 75.67 ± 1.20,63.79 ± 1.19 / 81.10 ± 0.64,63.15 ± 0.98 / 80.02 ± 0.55,69.98 ± 0.38 / 42.13 ± 0.74,30.25 ± 0.17 / 34.32 ± 0.20,79.59 ± 0.87 / 85.00 ± 0.62,72.59 ± 0.93 / 79.45 ± 0.70,89.75 ± 1.12 / 91.72 ± 0.93,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.45,87.09,?,256128.0,1048576.0,✓,✗,✗,✓,61.02 ± 1.14 / 72.22 ± 0.94,74.76 ± 1.06 / 57.98 ± 1.24,72.00 ± 1.78 / 58.31 ± 1.63,71.65 ± 1.44 / 85.10 ± 0.82,73.39 ± 0.76 / 86.09 ± 0.43,73.40 ± 0.35 / 46.71 ± 0.75,29.65 ± 0.14 / 34.37 ± 0.17,78.26 ± 1.08 / 84.02 ± 0.76,59.88 ± 1.66 / 69.92 ± 1.24,86.96 ± 1.03 / 89.53 ± 0.81,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.46,30.55,?,?,400000.0,✓,✗,✗,✓,56.31 ± 1.48 / 69.55 ± 1.17,80.75 ± 0.70 / 70.78 ± 1.22,79.46 ± 1.28 / 68.87 ± 1.27,68.06 ± 0.94 / 83.45 ± 0.46,62.01 ± 1.53 / 80.43 ± 0.81,70.44 ± 0.38 / 41.32 ± 0.74,30.18 ± 0.12 / 34.51 ± 0.15,80.14 ± 0.81 / 85.35 ± 0.60,69.07 ± 0.99 / 76.80 ± 0.75,84.73 ± 0.99 / 87.66 ± 0.79,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
