<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/portuguese#sst2-pt'>sst2_pt</a>,<a href='https://euroeval.com/datasets/portuguese#harem'>harem</a>,<a href='https://euroeval.com/datasets/portuguese#scala-pt'>scala_pt</a>,<a href='https://euroeval.com/datasets/portuguese#multi-wiki-qa-pt'>multi_wiki_qa_pt</a>,<a href='https://euroeval.com/datasets/portuguese#publico'>publico</a>,<a href='https://euroeval.com/datasets/portuguese#mmlu-pt'>mmlu_pt</a>,<a href='https://euroeval.com/datasets/portuguese#goldenswag-pt'>goldenswag_pt</a>,sst2_pt_version,harem_version,scala_pt_version,multi_wiki_qa_pt_version,publico_version,mmlu_pt_version,goldenswag_pt_version
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.35,0.61,?,?,?,✓,✗,✗,✓,91.66 ± 0.60 / 95.80 ± 0.30,52.96 ± 1.90 / 41.77 ± 1.67,76.33 ± 1.10 / 87.71 ± 0.59,71.21 ± 0.42 / 44.47 ± 0.60,33.44 ± 0.11 / 35.61 ± 0.12,88.87 ± 0.62 / 91.64 ± 0.46,96.68 ± 0.32 / 97.50 ± 0.24,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.38,0.84,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,88.97 ± 0.96 / 94.36 ± 0.50,63.85 ± 2.01 / 55.47 ± 1.41,71.04 ± 1.70 / 85.37 ± 0.85,70.27 ± 0.38 / 40.84 ± 0.68,31.62 ± 0.22 / 32.74 ± 0.28,80.06 ± 0.98 / 85.00 ± 0.72,97.87 ± 0.38 / 98.40 ± 0.29,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.38,0.32,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,90.38 ± 2.25 / 95.14 ± 1.14,52.40 ± 3.30 / 44.02 ± 2.60,71.09 ± 3.44 / 85.20 ± 1.86,79.26 ± 1.22 / 61.51 ± 1.98,33.93 ± 0.17 / 35.47 ± 0.19,79.48 ± 1.52 / 84.53 ± 1.16,92.22 ± 1.80 / 94.10 ± 1.38,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.42,2.86,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,88.68 ± 0.73 / 94.28 ± 0.38,63.12 ± 1.56 / 57.03 ± 1.54,66.44 ± 2.22 / 83.09 ± 1.12,70.08 ± 0.32 / 40.47 ± 0.42,32.70 ± 0.10 / 34.24 ± 0.13,78.02 ± 0.92 / 83.48 ± 0.68,89.80 ± 0.85 / 92.34 ± 0.64,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.49,0.24,?,256128.0,1048576.0,✓,✗,✗,✓,90.88 ± 1.43 / 95.41 ± 0.71,39.90 ± 1.94 / 29.91 ± 2.16,74.07 ± 1.64 / 86.85 ± 0.78,67.28 ± 0.98 / 36.05 ± 1.33,33.00 ± 0.26 / 34.56 ± 0.26,90.72 ± 1.12 / 93.05 ± 0.84,98.75 ± 0.59 / 99.06 ± 0.44,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.50,14.14,?,256128.0,1048576.0,✓,✗,✗,✓,88.38 ± 1.69 / 94.12 ± 0.86,45.28 ± 2.19 / 35.48 ± 1.74,71.42 ± 2.41 / 85.35 ± 1.18,65.47 ± 0.88 / 33.85 ± 1.12,33.57 ± 0.25 / 35.37 ± 0.26,89.36 ± 1.79 / 92.03 ± 1.33,95.25 ± 1.01 / 96.41 ± 0.78,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.51,0.93,?,256128.0,1048576.0,✓,✗,✗,✓,89.25 ± 0.56 / 94.59 ± 0.28,49.23 ± 1.55 / 35.47 ± 1.20,71.96 ± 1.03 / 85.54 ± 0.55,65.48 ± 0.38 / 36.03 ± 0.36,33.18 ± 0.16 / 35.51 ± 0.17,86.46 ± 0.70 / 89.84 ± 0.52,89.54 ± 0.74 / 92.15 ± 0.55,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.58,?,?,256128.0,1048576.0,✓,✗,✗,✓,92.35 ± 1.46 / 96.16 ± 0.73,36.98 ± 1.80 / 28.38 ± 1.61,68.66 ± 1.62 / 82.80 ± 1.11,65.47 ± 0.88 / 33.85 ± 1.12,33.32 ± 0.27 / 35.63 ± 0.28,89.12 ± 1.62 / 91.84 ± 1.21,97.71 ± 0.57 / 98.28 ± 0.43,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.59,?,?,?,?,✓,✗,✗,✓,81.41 ± 1.82 / 90.48 ± 0.95,40.58 ± 1.90 / 30.72 ± 1.33,71.49 ± 1.23 / 85.61 ± 0.63,69.98 ± 1.14 / 40.21 ± 1.50,34.41 ± 0.26 / 36.70 ± 0.28,80.95 ± 1.19 / 85.66 ± 0.93,90.82 ± 1.77 / 93.12 ± 1.32,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
