<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/catalan#guia-cat'>guia_cat</a>,<a href='https://euroeval.com/datasets/catalan#wikiann-ca'>wikiann_ca</a>,<a href='https://euroeval.com/datasets/catalan#scala-ca'>scala_ca</a>,<a href='https://euroeval.com/datasets/catalan#multi-wiki-qa-ca'>multi_wiki_qa_ca</a>,<a href='https://euroeval.com/datasets/catalan#dacsa-ca'>dacsa_ca</a>,<a href='https://euroeval.com/datasets/catalan#mmlu-ca'>mmlu_ca</a>,<a href='https://euroeval.com/datasets/catalan#winogrande-ca'>winogrande_ca</a>,guia_cat_version,wikiann_ca_version,scala_ca_version,multi_wiki_qa_ca_version,dacsa_ca_version,mmlu_ca_version,winogrande_ca_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.35,?,256128.0,1048576.0,✓,✗,✗,✓,67.27 ± 3.85 / 61.99 ± 3.14,67.67 ± 1.86 / 67.67 ± 1.86,71.60 ± 2.74 / 85.57 ± 1.38,66.29 ± 1.41 / 37.69 ± 1.87,36.27 ± 0.26 / 41.31 ± 0.27,86.28 ± 1.53 / 89.69 ± 1.16,77.76 ± 4.71 / 89.22 ± 2.47,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,1.43,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,73.14 ± 2.02 / 67.01 ± 2.18,73.46 ± 1.36 / 73.46 ± 1.36,51.54 ± 2.82 / 71.38 ± 1.93,59.76 ± 0.93 / 35.80 ± 1.40,35.65 ± 0.20 / 39.15 ± 0.28,79.99 ± 1.07 / 84.96 ± 0.80,80.30 ± 1.54 / 90.86 ± 0.76,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.47,?,256128.0,1048576.0,✓,✗,✗,✓,74.01 ± 4.22 / 58.97 ± 1.53,66.31 ± 2.02 / 66.31 ± 2.02,62.29 ± 3.53 / 80.05 ± 1.87,62.31 ± 1.24 / 28.14 ± 1.52,32.32 ± 0.27 / 38.38 ± 0.31,87.01 ± 1.73 / 90.23 ± 1.30,80.44 ± 2.87 / 90.94 ± 1.43,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.52,?,?,200000.0,✓,✗,✗,✓,63.29 ± 3.65 / 57.66 ± 2.10,71.77 ± 1.77 / 71.77 ± 1.77,52.35 ± 3.41 / 72.75 ± 1.96,69.50 ± 1.57 / 41.93 ± 1.86,34.36 ± 0.34 / 40.64 ± 0.36,80.60 ± 2.56 / 85.39 ± 1.93,77.83 ± 3.36 / 89.22 ± 1.78,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,1.52,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,72.81 ± 2.17 / 68.61 ± 1.27,72.32 ± 1.33 / 72.32 ± 1.33,54.50 ± 2.17 / 73.68 ± 1.51,59.37 ± 0.83 / 36.90 ± 1.40,34.57 ± 0.48 / 37.60 ± 0.64,79.82 ± 1.36 / 84.77 ± 1.03,71.90 ± 2.06 / 87.11 ± 0.95,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.62,?,?,400000.0,✓,✗,✗,✓,76.13 ± 1.81 / 57.40 ± 0.93,67.66 ± 0.87 / 67.66 ± 0.87,51.68 ± 1.60 / 71.95 ± 0.88,67.10 ± 0.73 / 41.53 ± 1.23,34.20 ± 0.13 / 39.43 ± 0.13,83.91 ± 1.13 / 87.89 ± 0.84,58.95 ± 1.44 / 80.70 ± 0.74,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.62,?,?,400000.0,✓,✗,✗,✓,73.81 ± 1.55 / 56.44 ± 0.81,66.47 ± 0.92 / 66.47 ± 0.92,49.63 ± 1.38 / 69.64 ± 0.73,67.05 ± 0.79 / 41.30 ± 1.28,34.83 ± 0.15 / 40.08 ± 0.17,80.97 ± 1.00 / 85.74 ± 0.75,58.52 ± 3.07 / 80.31 ± 1.54,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.63,?,256128.0,1048576.0,✓,✗,✗,✓,66.04 ± 4.08 / 61.90 ± 3.14,63.47 ± 1.66 / 63.47 ± 1.66,66.37 ± 2.71 / 82.95 ± 1.38,61.14 ± 0.98 / 26.28 ± 1.34,33.42 ± 0.32 / 38.94 ± 0.36,84.53 ± 1.42 / 88.40 ± 1.06,63.04 ± 4.58 / 81.95 ± 2.46,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.64,?,?,?,✓,✗,✗,✓,72.21 ± 1.85 / 58.90 ± 0.78,60.44 ± 1.07 / 60.44 ± 1.07,68.77 ± 1.59 / 83.74 ± 0.81,68.53 ± 0.64 / 39.74 ± 1.05,33.42 ± 0.15 / 39.59 ± 0.16,72.92 ± 1.34 / 79.69 ± 1.01,53.73 ± 1.98 / 77.73 ± 0.96,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
