<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/albanian#mms-sq'>mms_sq</a>,<a href='https://euroeval.com/datasets/albanian#wikiann-sq'>wikiann_sq</a>,<a href='https://euroeval.com/datasets/albanian#scala-sq'>scala_sq</a>,<a href='https://euroeval.com/datasets/albanian#multi-wiki-qa-sq'>multi_wiki_qa_sq</a>,<a href='https://euroeval.com/datasets/albanian#lr-sum-sq'>lr_sum_sq</a>,<a href='https://euroeval.com/datasets/albanian#global-mmlu-lite-sq'>global_mmlu_lite_sq</a>,<a href='https://euroeval.com/datasets/albanian#winogrande-sq'>winogrande_sq</a>,mms_sq_version,wikiann_sq_version,scala_sq_version,multi_wiki_qa_sq_version,lr_sum_sq_version,global_mmlu_lite_sq_version,winogrande_sq_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-pro-preview'>gemini/gemini-3.1-pro-preview (zero-shot, val)</a>",🤔,1.19,?,256128.0,1048576.0,✓,✗,✗,✓,29.46 ± 1.60 / 51.62 ± 1.14,80.88 ± 0.63 / 80.88 ± 0.63,78.55 ± 1.06 / 88.80 ± 0.57,55.78 ± 0.67 / 26.67 ± 0.91,32.62 ± 0.17 / 38.46 ± 0.19,95.46 ± 0.84 / 96.56 ± 0.65,85.24 ± 1.88 / 93.20 ± 0.86,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.32,?,256128.0,1048576.0,✓,✗,✗,✓,27.59 ± 3.48 / 50.99 ± 2.27,79.60 ± 1.45 / 79.60 ± 1.45,72.43 ± 5.65 / 85.77 ± 2.81,56.73 ± 0.98 / 26.25 ± 1.29,32.62 ± 0.33 / 38.46 ± 0.38,91.45 ± 1.60 / 93.44 ± 1.28,82.09 ± 2.98 / 91.41 ± 1.50,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.46,?,256128.0,1048576.0,✓,✗,✗,✓,32.13 ± 3.70 / 53.92 ± 2.55,74.95 ± 1.15 / 74.95 ± 1.15,64.80 ± 6.37 / 82.11 ± 3.16,53.37 ± 0.86 / 21.12 ± 1.50,32.76 ± 0.25 / 37.96 ± 0.27,90.74 ± 3.68 / 92.97 ± 2.82,69.33 ± 3.49 / 84.45 ± 1.98,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.53,?,256128.0,1048576.0,✓,✗,✗,✓,25.14 ± 3.31 / 49.17 ± 2.26,78.34 ± 1.03 / 78.34 ± 1.03,59.48 ± 6.82 / 79.30 ± 3.33,54.49 ± 1.31 / 23.85 ± 1.67,28.76 ± 0.26 / 35.50 ± 0.28,96.46 ± 1.83 / 97.34 ± 1.37,75.40 ± 4.24 / 88.36 ± 2.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.59,?,?,400000.0,✓,✗,✗,✓,29.39 ± 1.76 / 51.63 ± 1.24,81.55 ± 0.53 / 81.55 ± 0.53,50.57 ± 3.57 / 73.51 ± 1.70,56.77 ± 0.69 / 33.08 ± 0.67,32.14 ± 0.15 / 38.00 ± 0.16,90.23 ± 1.06 / 92.66 ± 0.77,51.85 ± 1.87 / 77.58 ± 0.94,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,1.64,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,25.00 ± 1.42 / 48.95 ± 0.95,81.16 ± 0.86 / 81.16 ± 0.86,47.86 ± 4.42 / 71.56 ± 2.40,48.35 ± 0.82 / 26.46 ± 0.80,34.07 ± 0.18 / 38.89 ± 0.30,74.72 ± 1.99 / 80.94 ± 1.51,79.32 ± 2.14 / 90.55 ± 0.95,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.65,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,26.65 ± 2.01 / 49.49 ± 1.42,80.13 ± 0.74 / 80.13 ± 0.74,52.54 ± 4.14 / 75.71 ± 2.09,58.86 ± 0.80 / 27.93 ± 1.03,33.78 ± 0.20 / 38.55 ± 0.21,76.50 ± 2.19 / 82.03 ± 1.70,60.30 ± 2.61 / 80.31 ± 1.31,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.66,?,?,200000.0,✓,✗,✗,✓,24.43 ± 3.59 / 48.66 ± 2.37,81.30 ± 1.28 / 81.30 ± 1.28,45.78 ± 7.56 / 71.02 ± 3.85,56.55 ± 1.12 / 28.09 ± 1.74,31.94 ± 0.26 / 38.36 ± 0.28,78.39 ± 4.50 / 83.75 ± 3.36,73.76 ± 4.52 / 87.58 ± 2.16,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.68,?,?,1047576.0,✓,✗,✗,✓,27.07 ± 4.06 / 49.47 ± 2.78,73.89 ± 1.32 / 73.89 ± 1.32,56.90 ± 5.39 / 76.06 ± 3.03,53.87 ± 1.25 / 23.86 ± 1.51,33.78 ± 0.26 / 39.63 ± 0.27,71.79 ± 4.63 / 78.75 ± 3.33,66.31 ± 4.35 / 84.22 ± 2.06,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
