<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.20,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,1.13,1.28,1.20
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.21,?,256128.0,1048576.0,✓,✗,✗,✓,1.16,1.24,1.22
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.29,?,?,?,✓,✗,✗,✓,1.21,1.41,1.26
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.31,?,100256.0,272000.0,✓,✗,✗,✓,1.18,1.41,1.33
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.32,?,256128.0,1048576.0,✓,✗,✗,✓,1.18,1.40,1.38
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.32,?,256128.0,1048576.0,✓,✗,✗,✓,1.27,1.38,1.32
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.32,?,?,400000.0,✓,✗,✗,✓,1.24,1.41,1.30
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.33,?,?,400000.0,✓,✗,✗,✓,1.27,1.45,1.28
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.35,?,?,?,✓,✗,✗,✓,1.32,1.45,1.29
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.36,?,?,400000.0,✓,✗,✗,✓,1.25,1.53,1.29
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.36,?,256128.0,1048576.0,✓,✗,✗,✓,1.17,1.45,1.46
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.37,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,1.40,1.45,1.25
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.37,?,?,400000.0,✓,✗,✗,✓,1.31,1.49,1.32
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.40,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,1.47,1.43,1.31
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.41,?,?,200000.0,✓,✗,✗,✓,1.29,1.50,1.44
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.41,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,1.37,1.49,1.36
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.44,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,1.42,1.50,1.42
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.45,24011361280.0,131072.0,?,✓,✗,(✓),✓,1.45,1.58,1.31
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.45,24011361280.0,131072.0,?,✓,✗,(✓),✓,1.45,1.56,1.36
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.45,?,256128.0,1048576.0,✓,✗,✗,✓,1.37,1.63,1.36
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.46,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,1.43,1.54,1.41
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.46,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,1.38,1.59,1.41
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.47,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.48,1.55,1.37
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.47,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,1.41,1.58,1.41
