<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/german#sb10k'>sb10k</a>,<a href='https://euroeval.com/datasets/german#germeval'>germeval</a>,<a href='https://euroeval.com/datasets/german#scala-de'>scala_de</a>,<a href='https://euroeval.com/datasets/german#germanquad'>germanquad</a>,<a href='https://euroeval.com/datasets/german#mlsum-de'>mlsum_de</a>,<a href='https://euroeval.com/datasets/german#mmlu-de'>mmlu_de</a>,<a href='https://euroeval.com/datasets/german#hellaswag-de'>hellaswag_de</a>,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_de_version,mmlu_de_version,hellaswag_de_version
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.52,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,58.76 ± 2.51 / 70.76 ± 2.55,70.94 ± 1.05 / 63.71 ± 1.63,66.08 ± 1.36 / 82.72 ± 0.83,68.12 ± 3.42 / 39.20 ± 2.39,39.19 ± 4.89 / 40.12 ± 5.40,62.10 ± 0.74 / 71.52 ± 0.56,52.89 ± 3.03 / 62.59 ± 2.70,16.5.0.dev0,15.7.2.dev0,16.5.0.dev0,15.7.2.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.53,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,57.03 ± 2.72 / 70.55 ± 1.80,68.91 ± 1.53 / 62.62 ± 2.13,64.74 ± 1.43 / 81.81 ± 1.05,68.95 ± 3.37 / 39.28 ± 2.85,41.16 ± 3.97 / 43.23 ± 4.62,65.88 ± 0.80 / 74.42 ± 0.61,59.28 ± 1.73 / 68.85 ± 1.40,16.5.0.dev0,15.9.1.dev0,16.5.0.dev0,15.9.1.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.56,?,?,256128.0,1048576.0,✓,✗,✗,✓,57.45 ± 2.72 / 70.00 ± 1.97,66.89 ± 1.82 / 54.54 ± 1.49,74.00 ± 2.54 / 86.95 ± 1.28,56.11 ± 1.56 / 30.85 ± 1.84,31.60 ± 0.32 / 36.89 ± 0.32,90.46 ± 0.93 / 92.89 ± 0.68,82.16 ± 1.36 / 86.60 ± 1.00,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.57,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,60.32 ± 3.35 / 73.13 ± 2.15,70.47 ± 1.37 / 64.13 ± 1.69,51.92 ± 1.97 / 74.33 ± 0.96,65.36 ± 2.63 / 31.95 ± 2.91,36.83 ± 0.24 / 40.12 ± 0.60,65.65 ± 0.75 / 74.25 ± 0.56,84.10 ± 0.61 / 88.05 ± 0.46,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,16.15.0.dev0,15.9.1.dev0,15.9.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.57,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,62.28 ± 2.60 / 74.66 ± 1.78,70.67 ± 0.85 / 62.27 ± 1.84,52.14 ± 2.19 / 74.69 ± 1.50,64.85 ± 3.12 / 36.71 ± 2.65,36.03 ± 0.47 / 39.33 ± 0.86,64.83 ± 0.63 / 73.58 ± 0.49,78.26 ± 1.19 / 83.55 ± 0.92,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.15.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.58,6.6,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,57.91 ± 1.23 / 69.87 ± 0.85,75.25 ± 1.06 / 67.23 ± 1.09,68.08 ± 1.44 / 83.92 ± 0.74,54.18 ± 1.14 / 26.65 ± 1.55,32.95 ± 0.29 / 37.18 ± 0.21,79.63 ± 0.92 / 84.80 ± 0.68,77.02 ± 1.13 / 82.70 ± 0.85,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.59,62.52,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,61.29 ± 2.49 / 73.17 ± 1.88,73.22 ± 1.06 / 56.13 ± 2.75,52.41 ± 1.58 / 74.01 ± 1.09,61.10 ± 1.19 / 31.79 ± 1.05,35.36 ± 0.15 / 38.78 ± 0.30,76.14 ± 0.65 / 82.10 ± 0.49,82.44 ± 0.91 / 86.75 ± 0.69,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.15.0.dev0,15.8.1.dev0,15.8.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.60,36.91,?,?,400000.0,✓,✗,✗,✓,55.52 ± 1.21 / 67.24 ± 0.90,77.95 ± 0.99 / 59.27 ± 1.31,72.72 ± 0.85 / 86.21 ± 0.43,49.38 ± 0.85 / 26.46 ± 0.97,32.41 ± 0.16 / 37.39 ± 0.16,87.30 ± 0.71 / 90.55 ± 0.54,74.17 ± 1.15 / 80.59 ± 0.86,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.63,13.2,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,56.78 ± 2.50 / 69.74 ± 1.97,68.72 ± 1.92 / 57.12 ± 3.39,62.06 ± 1.76 / 80.86 ± 0.87,62.67 ± 1.91 / 34.04 ± 1.89,34.94 ± 0.35 / 39.43 ± 0.33,71.31 ± 1.79 / 78.52 ± 1.29,78.36 ± 1.81 / 83.52 ± 1.43,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.64,N/A,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,56.46 ± 1.80 / 70.15 ± 1.33,66.88 ± 1.31 / 62.60 ± 0.95,60.16 ± 2.01 / 79.35 ± 1.24,69.42 ± 1.65 / 38.50 ± 1.24,39.79 ± 1.62 / 42.73 ± 1.90,57.16 ± 1.57 / 67.77 ± 1.18,52.20 ± 2.12 / 63.83 ± 1.62,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.65,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,51.54 ± 5.08 / 59.69 ± 6.93,62.20 ± 2.07 / 55.39 ± 2.33,62.49 ± 2.08 / 80.67 ± 1.26,67.98 ± 3.47 / 37.63 ± 3.04,41.19 ± 3.59 / 42.91 ± 4.43,63.21 ± 0.93 / 72.44 ± 0.68,57.74 ± 2.62 / 66.99 ± 2.23,16.5.0.dev0,15.6.1,16.5.0.dev0,15.6.1,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.68,?,?,?,?,✓,✗,✗,✓,56.17 ± 3.09 / 67.05 ± 2.20,77.06 ± 1.59 / 67.68 ± 1.94,45.05 ± 3.51 / 67.98 ± 1.73,52.94 ± 1.49 / 26.23 ± 1.78,30.73 ± 0.28 / 36.32 ± 0.27,89.39 ± 1.30 / 92.07 ± 0.98,90.85 ± 1.14 / 93.12 ± 0.86,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0
