<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/bulgarian#cinexio'>cinexio</a>,<a href='https://euroeval.com/datasets/bulgarian#bg-ner-bsnlp'>bg_ner_bsnlp</a>,<a href='https://euroeval.com/datasets/bulgarian#scala-bg'>scala_bg</a>,<a href='https://euroeval.com/datasets/bulgarian#multi-wiki-qa-bg'>multi_wiki_qa_bg</a>,cinexio_version,bg_ner_bsnlp_version,scala_bg_version,multi_wiki_qa_bg_version
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.30,?,?,400000.0,✓,✗,✗,✓,52.30 ± 1.42 / 58.14 ± 0.97,92.54 ± 0.45 / 83.85 ± 0.60,77.40 ± 0.88 / 88.64 ± 0.44,70.53 ± 0.49 / 37.26 ± 0.64,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.32,?,256128.0,1048576.0,✓,✗,✗,✓,55.28 ± 2.26 / 60.40 ± 1.39,89.73 ± 0.83 / 81.13 ± 1.01,76.70 ± 2.34 / 87.86 ± 1.31,67.68 ± 1.33 / 38.98 ± 1.40,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.35,?,256128.0,1048576.0,✓,✗,✗,✓,52.56 ± 2.56 / 58.71 ± 1.27,86.25 ± 0.78 / 77.10 ± 0.73,83.73 ± 2.64 / 91.50 ± 1.42,68.53 ± 0.82 / 34.63 ± 0.77,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.35,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,60.79 ± 1.42 / 69.05 ± 0.89,86.76 ± 0.44 / 83.55 ± 0.48,63.84 ± 1.47 / 81.49 ± 0.77,71.01 ± 0.39 / 40.38 ± 0.58,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.36,?,256128.0,1048576.0,✓,✗,✗,✓,55.23 ± 1.89 / 61.67 ± 1.19,90.84 ± 0.87 / 77.30 ± 1.05,74.59 ± 2.06 / 86.24 ± 1.31,65.83 ± 1.15 / 28.58 ± 1.22,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.36,?,256128.0,1048576.0,✓,✗,✗,✓,53.70 ± 2.15 / 60.72 ± 1.14,91.74 ± 0.59 / 77.93 ± 1.07,79.40 ± 3.06 / 89.45 ± 1.62,65.64 ± 1.16 / 28.16 ± 1.22,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.36,?,?,400000.0,✓,✗,✗,✓,52.93 ± 1.17 / 59.17 ± 0.86,90.24 ± 0.34 / 84.07 ± 0.44,75.57 ± 1.28 / 87.68 ± 0.63,70.47 ± 0.44 / 39.69 ± 0.65,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.36,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,55.74 ± 1.45 / 64.24 ± 0.84,90.62 ± 0.53 / 90.00 ± 0.48,68.85 ± 1.96 / 84.28 ± 0.97,70.34 ± 0.60 / 38.29 ± 1.11,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.37,?,256128.0,1048576.0,✓,✗,✗,✓,53.31 ± 1.21 / 61.10 ± 0.67,87.68 ± 0.49 / 75.29 ± 0.59,83.09 ± 1.01 / 90.96 ± 0.58,65.59 ± 0.51 / 28.09 ± 0.54,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.40,?,?,400000.0,✓,✗,✗,✓,53.11 ± 1.17 / 59.13 ± 0.73,92.21 ± 0.41 / 84.34 ± 0.53,71.87 ± 0.90 / 85.81 ± 0.45,69.54 ± 0.48 / 34.89 ± 0.53,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,1.40,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,61.20 ± 1.17 / 69.52 ± 0.84,88.51 ± 1.39 / 88.20 ± 1.42,65.05 ± 1.56 / 81.05 ± 0.86,63.70 ± 0.59 / 36.22 ± 0.59,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.40,?,?,?,✓,✗,✗,✓,56.92 ± 2.18 / 64.31 ± 1.37,78.94 ± 1.20 / 69.08 ± 1.05,77.04 ± 2.98 / 88.22 ± 1.61,70.33 ± 0.70 / 37.60 ± 0.66,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.41,?,256128.0,1048576.0,✓,✗,✗,✓,55.28 ± 2.55 / 62.28 ± 1.65,85.97 ± 0.67 / 76.28 ± 0.89,75.58 ± 2.84 / 87.44 ± 1.47,66.24 ± 1.81 / 34.40 ± 1.70,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.43,?,?,?,✓,✗,✗,✓,52.94 ± 1.32 / 60.35 ± 0.68,83.68 ± 0.52 / 74.83 ± 0.58,75.49 ± 1.01 / 87.16 ± 0.59,70.30 ± 0.61 / 37.38 ± 0.63,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.43,?,?,200000.0,✓,✗,✗,✓,53.45 ± 2.29 / 59.53 ± 1.23,92.14 ± 0.69 / 88.86 ± 0.52,67.95 ± 3.15 / 83.58 ± 1.62,69.01 ± 0.88 / 35.73 ± 1.29,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.44,?,?,1047576.0,✓,✗,✗,✓,56.99 ± 1.79 / 63.99 ± 1.26,82.32 ± 0.75 / 72.09 ± 0.69,73.45 ± 2.56 / 85.89 ± 1.39,67.27 ± 1.07 / 33.02 ± 1.24,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.44,?,256128.0,1048576.0,✓,✗,✗,✓,51.76 ± 2.11 / 58.00 ± 1.38,87.16 ± 0.98 / 76.36 ± 0.83,72.75 ± 2.27 / 86.01 ± 1.26,65.79 ± 1.41 / 28.65 ± 1.66,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.45,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,59.07 ± 1.72 / 69.85 ± 1.35,80.48 ± 0.69 / 80.84 ± 0.56,58.44 ± 1.72 / 77.90 ± 1.07,80.66 ± 1.13 / 60.82 ± 1.31,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.46,?,100256.0,272000.0,✓,✗,✗,✓,52.85 ± 2.73 / 57.56 ± 2.14,91.85 ± 0.61 / 84.03 ± 0.94,67.30 ± 2.31 / 83.50 ± 1.13,67.73 ± 0.97 / 35.80 ± 1.23,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.48,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,61.03 ± 2.72 / 70.40 ± 2.54,83.01 ± 1.81 / 81.53 ± 1.93,46.18 ± 3.56 / 71.99 ± 2.06,78.39 ± 1.19 / 54.78 ± 2.14,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
