<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/catalan#guia-cat'>guia_cat</a>,<a href='https://euroeval.com/datasets/catalan#wikiann-ca'>wikiann_ca</a>,<a href='https://euroeval.com/datasets/catalan#scala-ca'>scala_ca</a>,<a href='https://euroeval.com/datasets/catalan#multi-wiki-qa-ca'>multi_wiki_qa_ca</a>,guia_cat_version,wikiann_ca_version,scala_ca_version,multi_wiki_qa_ca_version
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.42,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,68.19 ± 3.92 / 64.84 ± 3.81,73.72 ± 4.00 / 73.72 ± 4.00,55.30 ± 3.93 / 77.10 ± 2.08,74.78 ± 1.36 / 50.42 ± 2.80,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.44,?,?,?,✓,✗,✗,✓,72.21 ± 1.85 / 58.90 ± 0.78,60.44 ± 1.07 / 60.44 ± 1.07,68.77 ± 1.59 / 83.74 ± 0.81,68.53 ± 0.64 / 39.74 ± 1.05,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.46,?,256128.0,1048576.0,✓,✗,✗,✓,67.27 ± 3.85 / 61.99 ± 3.14,67.67 ± 1.86 / 67.67 ± 1.86,71.60 ± 2.74 / 85.57 ± 1.38,66.29 ± 1.41 / 37.69 ± 1.87,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.48,?,?,400000.0,✓,✗,✗,✓,68.58 ± 1.85 / 56.22 ± 0.82,65.08 ± 1.26 / 65.08 ± 1.26,63.09 ± 1.53 / 81.48 ± 0.76,70.62 ± 0.75 / 45.98 ± 1.17,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.50,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,73.60 ± 3.00 / 68.67 ± 2.70,73.71 ± 1.91 / 73.71 ± 1.91,38.60 ± 2.75 / 68.28 ± 1.21,73.70 ± 0.77 / 48.98 ± 0.98,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.51,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,58.42 ± 1.98 / 62.07 ± 1.06,68.84 ± 3.00 / 68.84 ± 3.00,63.84 ± 2.32 / 81.75 ± 1.26,75.72 ± 0.68 / 49.87 ± 1.50,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.51,?,256128.0,1048576.0,✓,✗,✗,✓,74.01 ± 4.22 / 58.97 ± 1.53,66.31 ± 2.02 / 66.31 ± 2.02,62.29 ± 3.53 / 80.05 ± 1.87,62.31 ± 1.24 / 28.14 ± 1.52,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,1.53,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,73.14 ± 2.02 / 67.01 ± 2.18,73.46 ± 1.36 / 73.46 ± 1.36,51.54 ± 2.82 / 71.38 ± 1.93,59.76 ± 0.93 / 35.80 ± 1.40,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.54,?,?,1047576.0,✓,✗,✗,✓,72.36 ± 3.53 / 57.16 ± 1.89,62.06 ± 1.71 / 62.06 ± 1.71,62.88 ± 2.56 / 81.21 ± 1.24,65.79 ± 1.37 / 38.18 ± 2.26,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
