<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/slovak#csfd-sentiment-sk'>csfd_sentiment_sk</a>,<a href='https://euroeval.com/datasets/slovak#uner-sk'>uner_sk</a>,<a href='https://euroeval.com/datasets/slovak#scala-sk'>scala_sk</a>,<a href='https://euroeval.com/datasets/slovak#multi-wiki-qa-sk'>multi_wiki_qa_sk</a>,csfd_sentiment_sk_version,uner_sk_version,scala_sk_version,multi_wiki_qa_sk_version
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.34,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,58.98 ± 1.13 / 66.70 ± 0.82,72.84 ± 0.79 / 72.84 ± 0.79,61.46 ± 2.02 / 80.48 ± 0.99,60.03 ± 0.81 / 33.33 ± 1.11,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.41,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,60.04 ± 1.75 / 72.17 ± 1.68,68.31 ± 1.00 / 68.31 ± 1.00,48.35 ± 1.65 / 73.76 ± 0.81,71.65 ± 1.79 / 53.06 ± 1.72,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.41,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.48 ± 1.45 / 71.46 ± 1.69,65.96 ± 0.92 / 65.96 ± 0.92,49.81 ± 1.59 / 72.71 ± 1.49,74.36 ± 1.31 / 52.95 ± 1.68,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.42,?,256128.0,1048576.0,✓,✗,✗,✓,61.69 ± 2.21 / 68.86 ± 1.96,62.39 ± 1.02 / 62.39 ± 1.02,69.00 ± 2.27 / 84.06 ± 1.30,57.24 ± 1.28 / 31.35 ± 1.55,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.45,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,58.22 ± 1.81 / 68.95 ± 2.01,65.77 ± 0.95 / 65.77 ± 0.95,51.95 ± 1.26 / 74.96 ± 0.69,70.99 ± 1.30 / 48.73 ± 1.33,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.45,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.19 ± 1.54 / 72.24 ± 1.60,63.70 ± 1.34 / 63.70 ± 1.34,48.08 ± 1.65 / 73.40 ± 0.87,74.29 ± 1.69 / 55.26 ± 1.73,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.46,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,57.76 ± 0.99 / 68.47 ± 1.10,67.58 ± 0.85 / 67.58 ± 0.85,52.10 ± 1.67 / 75.44 ± 0.86,70.10 ± 0.62 / 47.52 ± 1.02,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.52,?,100256.0,272000.0,✓,✗,✗,✓,54.23 ± 2.22 / 58.71 ± 1.70,63.83 ± 1.74 / 63.83 ± 1.74,63.79 ± 2.64 / 81.80 ± 1.32,58.86 ± 1.35 / 36.37 ± 1.66,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.53,?,?,400000.0,✓,✗,✗,✓,51.31 ± 1.11 / 56.59 ± 0.72,67.46 ± 0.69 / 67.46 ± 0.69,61.45 ± 1.33 / 80.62 ± 0.65,58.64 ± 0.82 / 37.38 ± 0.76,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
