<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/croatian#mms-hr'>mms_hr</a>,<a href='https://euroeval.com/datasets/croatian#wikiann-hr'>wikiann_hr</a>,<a href='https://euroeval.com/datasets/croatian#scala-hr'>scala_hr</a>,<a href='https://euroeval.com/datasets/croatian#multi-wiki-qa-hr'>multi_wiki_qa_hr</a>,mms_hr_version,wikiann_hr_version,scala_hr_version,multi_wiki_qa_hr_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.42,?,256128.0,1048576.0,✓,✗,✗,✓,39.99 ± 2.53 / 59.83 ± 1.54,68.98 ± 0.67 / 68.98 ± 0.67,78.88 ± 2.73 / 89.01 ± 1.45,67.64 ± 1.44 / 47.00 ± 2.49,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.54,?,256128.0,1048576.0,✓,✗,✗,✓,35.85 ± 1.24 / 56.86 ± 0.73,65.78 ± 0.51 / 65.78 ± 0.51,76.62 ± 1.61 / 87.47 ± 0.94,62.83 ± 0.83 / 36.26 ± 1.04,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.54,?,?,400000.0,✓,✗,✗,✓,43.25 ± 1.94 / 61.52 ± 1.28,65.79 ± 0.54 / 65.79 ± 0.54,65.53 ± 1.61 / 82.69 ± 0.80,66.55 ± 0.71 / 43.72 ± 1.27,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.55,?,?,400000.0,✓,✗,✗,✓,41.79 ± 1.70 / 60.53 ± 1.04,67.00 ± 0.55 / 67.00 ± 0.55,65.73 ± 1.24 / 81.16 ± 0.57,68.03 ± 0.71 / 43.49 ± 1.20,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.56,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,44.17 ± 1.77 / 62.14 ± 1.23,68.87 ± 0.81 / 68.87 ± 0.81,59.91 ± 1.95 / 79.77 ± 1.00,64.38 ± 0.58 / 38.25 ± 1.16,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.58,?,?,400000.0,✓,✗,✗,✓,40.82 ± 1.57 / 59.86 ± 0.97,67.85 ± 0.33 / 67.85 ± 0.33,63.91 ± 1.45 / 80.73 ± 0.74,64.55 ± 0.63 / 40.48 ± 0.97,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.58,?,?,?,✓,✗,✗,✓,42.20 ± 1.41 / 61.26 ± 0.87,64.78 ± 0.67 / 64.78 ± 0.67,68.59 ± 1.24 / 83.02 ± 0.71,63.92 ± 0.46 / 37.61 ± 0.88,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.62,?,?,200000.0,✓,✗,✗,✓,39.17 ± 2.65 / 58.78 ± 1.66,69.26 ± 0.59 / 69.26 ± 0.59,63.32 ± 3.05 / 81.24 ± 1.45,63.76 ± 0.96 / 38.44 ± 1.77,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.64,?,256128.0,1048576.0,✓,✗,✗,✓,39.95 ± 3.28 / 58.40 ± 2.01,61.52 ± 1.33 / 61.52 ± 1.33,70.72 ± 2.96 / 84.96 ± 1.55,65.65 ± 1.09 / 45.08 ± 1.66,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
