<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/finnish#scandisent-fi'>scandisent_fi</a>,<a href='https://euroeval.com/datasets/finnish#turku-ner-fi'>turku_ner_fi</a>,<a href='https://euroeval.com/datasets/finnish#scala-fi'>scala_fi</a>,<a href='https://euroeval.com/datasets/finnish#tydiqa-fi'>tydiqa_fi</a>,<a href='https://euroeval.com/datasets/finnish#xlsum-fi'>xlsum_fi</a>,<a href='https://euroeval.com/datasets/finnish#hellaswag-fi'>hellaswag_fi</a>,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.33,0.16,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,91.88 ± 0.67 / 95.84 ± 0.35,77.03 ± 0.57 / 67.21 ± 1.27,58.36 ± 1.16 / 78.77 ± 0.56,59.69 ± 0.63 / 34.71 ± 1.17,32.16 ± 0.21 / 33.94 ± 0.23,80.17 ± 1.26 / 85.20 ± 0.95,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.36,?,?,256128.0,1048576.0,✓,✗,✗,✓,90.25 ± 1.13 / 94.98 ± 0.58,63.81 ± 2.27 / 47.97 ± 2.39,62.11 ± 2.92 / 80.41 ± 1.48,59.81 ± 0.73 / 36.69 ± 1.31,32.77 ± 0.24 / 35.85 ± 0.25,86.54 ± 1.66 / 89.96 ± 1.24,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.37,62.08,?,256128.0,1048576.0,✓,✗,✗,✓,91.13 ± 1.00 / 95.45 ± 0.51,75.36 ± 2.11 / 60.19 ± 1.79,51.06 ± 3.86 / 75.43 ± 1.95,55.16 ± 0.90 / 30.10 ± 1.32,32.73 ± 0.28 / 36.50 ± 0.30,89.66 ± 1.40 / 92.27 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.41,72.99,?,256128.0,1048576.0,✓,✗,✗,✓,89.74 ± 0.63 / 94.70 ± 0.33,65.86 ± 1.13 / 34.67 ± 1.13,59.08 ± 1.48 / 78.71 ± 0.71,56.47 ± 0.34 / 29.91 ± 0.56,32.72 ± 0.14 / 36.30 ± 0.15,79.23 ± 0.81 / 84.49 ± 0.60,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.43,?,?,256128.0,1048576.0,✓,✗,✗,✓,90.25 ± 1.21 / 94.98 ± 0.63,64.90 ± 2.14 / 39.56 ± 2.14,54.95 ± 3.28 / 77.27 ± 1.62,53.83 ± 0.69 / 27.51 ± 1.13,32.86 ± 0.29 / 36.57 ± 0.30,87.08 ± 1.30 / 90.23 ± 1.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.51,31.35,?,?,400000.0,✓,✗,✗,✓,90.25 ± 0.58 / 94.98 ± 0.30,75.00 ± 1.02 / 60.34 ± 0.91,42.82 ± 1.89 / 70.80 ± 0.96,62.16 ± 0.37 / 42.06 ± 0.53,31.26 ± 0.13 / 34.67 ± 0.13,77.77 ± 0.93 / 83.32 ± 0.69,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.52,35.17,?,?,400000.0,✓,✗,✗,✓,89.23 ± 0.71 / 94.43 ± 0.37,68.00 ± 1.27 / 52.48 ± 1.05,50.08 ± 1.64 / 74.46 ± 0.78,62.81 ± 0.26 / 45.02 ± 0.56,31.40 ± 0.11 / 34.87 ± 0.12,73.04 ± 1.19 / 79.80 ± 0.88,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.52,28.1,?,?,400000.0,✓,✗,✗,✓,89.71 ± 0.51 / 94.66 ± 0.27,78.33 ± 1.14 / 65.67 ± 0.93,41.00 ± 1.94 / 69.82 ± 0.97,63.31 ± 0.31 / 42.85 ± 0.64,31.14 ± 0.11 / 34.53 ± 0.11,78.49 ± 0.78 / 83.83 ± 0.58,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.58,88.29,?,?,?,✓,✗,✗,✓,92.39 ± 0.60 / 96.12 ± 0.31,69.95 ± 0.74 / 52.95 ± 0.80,37.83 ± 1.96 / 66.72 ± 0.87,60.34 ± 0.51 / 39.78 ± 0.72,31.94 ± 0.09 / 36.08 ± 0.10,83.76 ± 1.19 / 87.81 ± 0.90,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.59,0.04,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,91.00 ± 0.84 / 95.37 ± 0.44,72.83 ± 1.11 / 61.92 ± 1.16,45.41 ± 1.86 / 71.98 ± 0.91,57.89 ± 0.56 / 31.33 ± 0.45,32.22 ± 0.19 / 34.42 ± 0.25,66.73 ± 1.78 / 75.08 ± 1.30,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.62,?,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,92.17 ± 0.76 / 96.04 ± 0.40,70.37 ± 1.35 / 55.35 ± 1.80,38.28 ± 1.44 / 68.88 ± 0.84,74.86 ± 1.78 / 55.80 ± 3.95,30.89 ± 0.28 / 32.98 ± 0.56,63.40 ± 1.13 / 72.35 ± 0.86,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,16.15.0.dev0,15.9.1.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.63,24.26,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,92.09 ± 1.07 / 96.01 ± 0.53,59.64 ± 3.15 / 40.83 ± 3.09,43.90 ± 3.63 / 71.12 ± 1.97,66.98 ± 1.13 / 46.28 ± 2.44,31.46 ± 0.17 / 34.30 ± 0.19,70.64 ± 3.17 / 78.05 ± 2.42,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.63,?,?,?,200000.0,✓,✗,✗,✓,91.13 ± 1.00 / 95.45 ± 0.51,72.92 ± 2.61 / 63.08 ± 2.30,25.46 ± 4.93 / 61.36 ± 2.48,62.88 ± 1.12 / 44.21 ± 1.33,31.66 ± 0.19 / 35.83 ± 0.21,87.78 ± 1.11 / 90.86 ± 0.82,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.65,65.35,?,?,400000.0,✓,✗,✗,✓,90.62 ± 1.17 / 95.18 ± 0.61,67.88 ± 2.40 / 48.98 ± 2.58,40.48 ± 3.98 / 70.05 ± 2.01,59.89 ± 0.82 / 36.57 ± 1.38,30.68 ± 0.23 / 34.69 ± 0.23,77.47 ± 2.47 / 83.01 ± 1.88,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.67,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,93.25 ± 0.65 / 96.60 ± 0.34,68.97 ± 1.83 / 44.41 ± 3.35,45.60 ± 2.20 / 71.84 ± 1.60,65.59 ± 1.53 / 46.24 ± 2.04,29.67 ± 0.39 / 30.19 ± 0.45,61.13 ± 0.97 / 70.54 ± 0.77,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,17.0.0.dev0,15.11.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.69,28.26,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,92.60 ± 0.70 / 96.26 ± 0.36,69.41 ± 1.26 / 44.98 ± 3.00,34.11 ± 2.76 / 64.41 ± 2.73,65.17 ± 0.89 / 44.96 ± 1.85,32.01 ± 0.23 / 34.02 ± 0.34,64.98 ± 0.97 / 73.63 ± 0.74,15.15.0,15.15.0,15.15.0,15.15.0,16.15.0.dev0,15.15.0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.70,?,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,91.61 ± 0.84 / 95.72 ± 0.45,67.45 ± 1.76 / 46.06 ± 3.44,35.83 ± 2.04 / 65.96 ± 1.73,74.97 ± 2.15 / 59.09 ± 3.09,30.87 ± 0.29 / 33.22 ± 0.51,56.29 ± 0.88 / 66.50 ± 0.73,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.15.0.dev0,15.16.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.74,0.8,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,91.45 ± 1.19 / 95.65 ± 0.63,61.34 ± 1.61 / 39.70 ± 2.11,36.96 ± 3.07 / 66.70 ± 1.97,65.15 ± 0.46 / 45.38 ± 1.44,32.55 ± 0.18 / 35.19 ± 0.16,62.59 ± 1.29 / 71.75 ± 1.01,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,16.15.0.dev0,15.9.2.dev0
