<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/greek#greek-sa'>greek_sa</a>,<a href='https://euroeval.com/datasets/greek#elner'>elner</a>,<a href='https://euroeval.com/datasets/greek#scala-el'>scala_el</a>,<a href='https://euroeval.com/datasets/greek#multi-wiki-qa-el'>multi_wiki_qa_el</a>,greek_sa_version,elner_version,scala_el_version,multi_wiki_qa_el_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.22,?,256128.0,1048576.0,✓,✗,✗,✓,81.97 ± 2.87 / 90.89 ± 1.46,78.37 ± 0.93 / 56.71 ± 1.35,66.99 ± 2.34 / 82.20 ± 1.42,62.25 ± 1.09 / 26.25 ± 1.23,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.24,?,256128.0,1048576.0,✓,✗,✗,✓,79.07 ± 2.98 / 89.44 ± 1.52,77.77 ± 1.01 / 54.76 ± 0.73,66.70 ± 2.80 / 83.25 ± 1.43,62.25 ± 1.09 / 26.25 ± 1.23,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.25,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,81.64 ± 1.66 / 90.74 ± 0.86,77.95 ± 0.99 / 68.07 ± 1.95,62.04 ± 1.96 / 80.58 ± 1.12,65.09 ± 0.71 / 32.13 ± 1.16,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.28,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,83.30 ± 1.24 / 91.36 ± 0.65,71.59 ± 1.23 / 56.46 ± 2.88,53.21 ± 4.05 / 74.98 ± 2.13,76.53 ± 1.97 / 55.41 ± 2.05,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.29,?,?,?,✓,✗,✗,✓,79.79 ± 1.76 / 89.82 ± 0.88,79.63 ± 0.29 / 55.93 ± 0.51,57.37 ± 1.66 / 76.46 ± 0.79,67.18 ± 0.38 / 39.31 ± 0.67,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.29,?,?,400000.0,✓,✗,✗,✓,77.58 ± 1.88 / 88.74 ± 0.94,80.26 ± 0.88 / 61.21 ± 0.69,57.93 ± 1.56 / 78.20 ± 0.84,63.96 ± 0.38 / 36.12 ± 0.74,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.33,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,81.08 ± 2.15 / 89.66 ± 1.30,70.21 ± 0.41 / 54.74 ± 2.82,54.48 ± 3.43 / 75.14 ± 1.85,74.20 ± 2.41 / 52.94 ± 2.06,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.36,?,?,131072.0,✓,✗,✗,✓,80.68 ± 1.98 / 90.30 ± 0.99,72.87 ± 0.72 / 53.57 ± 0.60,54.88 ± 1.68 / 75.99 ± 0.97,64.48 ± 0.49 / 39.70 ± 0.40,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.37,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,71.16 ± 4.93 / 84.95 ± 2.80,72.15 ± 0.79 / 57.31 ± 1.99,55.04 ± 1.53 / 76.53 ± 0.96,75.64 ± 0.76 / 51.81 ± 0.85,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.38,?,256128.0,1048576.0,✓,✗,✗,✓,78.66 ± 2.68 / 89.26 ± 1.39,77.21 ± 1.22 / 56.14 ± 1.29,54.39 ± 2.89 / 77.08 ± 1.49,63.98 ± 1.05 / 31.78 ± 1.16,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.39,?,?,?,✓,✗,✗,✓,79.33 ± 3.36 / 89.61 ± 1.71,71.99 ± 1.53 / 57.02 ± 1.21,56.23 ± 1.84 / 77.15 ± 1.10,66.07 ± 0.88 / 31.66 ± 1.31,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.40,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,78.92 ± 1.96 / 89.41 ± 0.98,75.82 ± 0.84 / 63.65 ± 1.93,53.11 ± 1.56 / 76.00 ± 0.85,64.18 ± 0.60 / 31.87 ± 1.06,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.40,?,?,200000.0,✓,✗,✗,✓,79.99 ± 3.83 / 89.96 ± 1.93,81.13 ± 1.26 / 54.93 ± 1.06,50.37 ± 3.15 / 73.43 ± 1.85,61.96 ± 1.03 / 30.47 ± 1.37,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.40,?,?,400000.0,✓,✗,✗,✓,76.78 ± 1.83 / 88.29 ± 0.94,76.94 ± 0.87 / 56.64 ± 0.65,54.56 ± 1.05 / 75.88 ± 0.66,63.27 ± 0.54 / 34.76 ± 0.41,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.44,?,256128.0,1048576.0,✓,✗,✗,✓,74.16 ± 2.78 / 86.99 ± 1.42,70.96 ± 1.08 / 41.28 ± 1.09,57.72 ± 1.92 / 78.75 ± 0.98,66.00 ± 1.12 / 38.60 ± 1.49,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.44,?,?,400000.0,✓,✗,✗,✓,74.60 ± 1.77 / 87.25 ± 0.90,79.92 ± 0.86 / 61.84 ± 0.69,50.72 ± 1.60 / 74.03 ± 0.95,63.38 ± 0.49 / 34.03 ± 0.60,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
