<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/english#sst5'>sst5</a>,<a href='https://euroeval.com/datasets/english#conll-en'>conll_en</a>,<a href='https://euroeval.com/datasets/english#scala-en'>scala_en</a>,<a href='https://euroeval.com/datasets/english#squad'>squad</a>,<a href='https://euroeval.com/datasets/english#cnn-dailymail'>cnn_dailymail</a>,<a href='https://euroeval.com/datasets/english#life-in-the-uk'>life_in_the_uk</a>,<a href='https://euroeval.com/datasets/english#hellaswag'>hellaswag</a>,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,life_in_the_uk_version,hellaswag_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.28,69.66,?,256128.0,1048576.0,✓,✗,✗,✓,69.12 ± 1.83 / 70.52 ± 1.64,92.30 ± 0.61 / 89.28 ± 0.65,69.31 ± 1.81 / 84.38 ± 0.94,83.17 ± 0.62 / 62.71 ± 1.61,41.63 ± 0.21 / 45.49 ± 0.21,97.29 ± 0.85 / 97.97 ± 0.64,86.72 ± 1.25 / 89.88 ± 0.96,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.29,?,?,256128.0,1048576.0,✓,✗,✗,✓,70.27 ± 1.79 / 69.61 ± 1.45,89.20 ± 0.68 / 79.44 ± 1.13,68.65 ± 2.57 / 83.57 ± 1.31,82.33 ± 0.69 / 58.09 ± 1.35,41.97 ± 0.21 / 45.65 ± 0.22,96.79 ± 0.85 / 97.62 ± 0.63,85.28 ± 1.22 / 88.95 ± 0.91,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.29,17.51,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,68.88 ± 1.26 / 71.90 ± 1.10,88.53 ± 0.59 / 88.01 ± 0.75,67.13 ± 1.41 / 82.92 ± 0.80,84.34 ± 0.48 / 64.23 ± 0.84,42.19 ± 0.20 / 43.94 ± 0.29,93.48 ± 0.75 / 95.16 ± 0.57,85.65 ± 1.06 / 89.06 ± 0.83,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.31,?,?,256128.0,1048576.0,✓,✗,✗,✓,67.37 ± 1.99 / 68.19 ± 1.29,86.89 ± 1.29 / 84.43 ± 1.02,67.31 ± 2.18 / 83.53 ± 1.09,82.55 ± 0.70 / 64.36 ± 1.55,42.32 ± 0.29 / 44.35 ± 0.28,96.13 ± 1.10 / 97.11 ± 0.83,86.66 ± 1.39 / 89.92 ± 1.06,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.31,92.54,?,?,?,✓,✗,✗,✓,71.56 ± 1.02 / 72.70 ± 0.78,80.40 ± 0.63 / 80.92 ± 0.69,76.44 ± 1.38 / 88.17 ± 0.69,80.07 ± 0.36 / 58.13 ± 0.75,42.67 ± 0.17 / 46.72 ± 0.16,90.59 ± 0.60 / 92.97 ± 0.45,86.72 ± 0.54 / 89.92 ± 0.42,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.33,57.76,?,256128.0,1048576.0,✓,✗,✗,✓,69.20 ± 1.21 / 72.08 ± 1.00,83.70 ± 0.55 / 76.84 ± 0.65,71.39 ± 1.78 / 85.61 ± 0.91,82.88 ± 0.35 / 60.11 ± 0.56,41.49 ± 0.13 / 44.87 ± 0.13,97.16 ± 0.36 / 97.89 ± 0.27,79.83 ± 0.69 / 84.80 ± 0.52,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.33,37.37,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,68.77 ± 2.88 / 74.48 ± 2.35,77.02 ± 1.66 / 72.27 ± 2.23,67.60 ± 2.36 / 83.48 ± 1.12,86.24 ± 0.95 / 70.45 ± 1.24,43.83 ± 0.18 / 47.06 ± 0.16,90.53 ± 1.45 / 92.97 ± 1.09,88.68 ± 1.24 / 91.45 ± 0.94,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.34,4.1,?,?,200000.0,✓,✗,✗,✓,70.16 ± 2.74 / 68.98 ± 2.79,88.59 ± 1.36 / 87.44 ± 0.96,49.86 ± 3.26 / 72.82 ± 1.77,84.81 ± 0.37 / 65.71 ± 0.92,42.86 ± 0.38 / 46.78 ± 0.36,97.47 ± 0.61 / 98.12 ± 0.45,96.52 ± 0.88 / 97.38 ± 0.66,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.34,?,?,?,?,✓,✗,✗,✓,68.99 ± 2.12 / 67.48 ± 1.80,89.97 ± 0.92 / 83.83 ± 0.93,51.40 ± 3.85 / 73.77 ± 1.98,83.56 ± 0.87 / 64.60 ± 1.63,43.73 ± 0.34 / 47.97 ± 0.33,91.42 ± 1.47 / 93.59 ± 1.11,95.90 ± 0.99 / 96.91 ± 0.74,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0
