<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=18 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/danish#angry-tweets'>angry_tweets</a>,<a href='https://euroeval.com/datasets/danish#dansk'>dansk</a>,<a href='https://euroeval.com/datasets/danish#scala-da'>scala_da</a>,<a href='https://euroeval.com/datasets/danish#multi-wiki-qa-da'>multi_wiki_qa_da</a>,<a href='https://euroeval.com/datasets/danish#nordjylland-news'>nordjylland_news</a>,<a href='https://euroeval.com/datasets/danish#danske-talemaader'>danske_talemaader</a>,<a href='https://euroeval.com/datasets/danish#danish-citizen-tests'>danish_citizen_tests</a>,<a href='https://euroeval.com/datasets/danish#hellaswag-da'>hellaswag_da</a>,angry_tweets_version,dansk_version,scala_da_version,multi_wiki_qa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.15,1.77,?,256128.0,1048576.0,✓,✗,✗,✓,60.17 ± 1.40 / 72.92 ± 1.18,68.07 ± 1.61 / 59.04 ± 1.58,77.98 ± 2.36 / 88.96 ± 1.18,75.54 ± 1.15 / 53.26 ± 1.22,37.71 ± 0.33 / 41.87 ± 0.38,89.63 ± 2.05 / 92.34 ± 1.61,100.00 ± 0.00 / 100.00 ± 0.00,84.75 ± 1.08 / 88.52 ± 0.85,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.16,43.75,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,63.59 ± 0.91 / 75.27 ± 0.64,71.39 ± 0.77 / 67.18 ± 1.01,68.90 ± 1.88 / 84.24 ± 0.92,76.83 ± 0.62 / 54.05 ± 0.65,38.54 ± 0.20 / 41.13 ± 0.19,84.73 ± 1.24 / 88.75 ± 1.01,90.51 ± 1.83 / 93.44 ± 1.36,81.90 ± 1.60 / 86.41 ± 1.21,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.18,66.61,?,256128.0,1048576.0,✓,✗,✗,✓,61.73 ± 1.69 / 73.05 ± 1.26,70.88 ± 1.77 / 60.42 ± 1.71,71.54 ± 3.08 / 85.50 ± 1.60,72.49 ± 0.92 / 48.04 ± 1.22,36.54 ± 0.45 / 41.18 ± 0.49,98.50 ± 1.10 / 98.91 ± 0.80,100.00 ± 0.00 / 100.00 ± 0.00,81.90 ± 1.41 / 86.37 ± 1.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.20,?,?,?,?,✓,✗,✗,✓,64.26 ± 1.81 / 75.16 ± 1.08,69.94 ± 1.67 / 63.25 ± 1.80,67.78 ± 2.78 / 82.79 ± 1.39,74.70 ± 1.07 / 57.53 ± 1.19,36.36 ± 0.32 / 41.15 ± 0.37,85.38 ± 1.60 / 89.38 ± 1.19,100.00 ± 0.00 / 100.00 ± 0.00,90.10 ± 1.00 / 92.58 ± 0.76,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.24,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.72 ± 1.90 / 71.02 ± 1.51,67.08 ± 1.56 / 49.48 ± 1.86,73.75 ± 2.72 / 86.64 ± 1.43,73.37 ± 0.80 / 48.60 ± 1.21,36.80 ± 0.45 / 41.32 ± 0.51,95.08 ± 1.52 / 96.41 ± 1.12,98.84 ± 0.84 / 99.22 ± 0.57,81.88 ± 1.84 / 86.33 ± 1.41,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.24,10.93,?,?,200000.0,✓,✗,✗,✓,62.64 ± 2.10 / 75.21 ± 1.45,65.30 ± 1.95 / 58.76 ± 2.17,64.18 ± 1.67 / 79.65 ± 1.01,76.29 ± 0.99 / 57.08 ± 1.41,36.72 ± 0.23 / 41.28 ± 0.29,85.38 ± 1.60 / 89.38 ± 1.19,96.38 ± 0.62 / 97.56 ± 0.44,90.41 ± 0.67 / 92.77 ± 0.53,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.26,73.53,?,256128.0,1048576.0,✓,✗,✗,✓,58.12 ± 0.89 / 71.58 ± 0.60,69.38 ± 0.95 / 50.73 ± 0.97,77.63 ± 1.18 / 88.76 ± 0.60,75.06 ± 0.61 / 50.31 ± 0.73,36.71 ± 0.21 / 41.44 ± 0.24,87.12 ± 0.71 / 90.47 ± 0.54,100.00 ± 0.00 / 100.00 ± 0.00,71.94 ± 0.78 / 78.91 ± 0.59,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.26,24.34,?,?,400000.0,✓,✗,✗,✓,55.11 ± 0.95 / 67.83 ± 0.65,71.15 ± 0.60 / 60.26 ± 0.77,71.31 ± 1.09 / 84.53 ± 0.62,75.74 ± 0.59 / 58.01 ± 0.71,37.02 ± 0.21 / 41.24 ± 0.24,90.63 ± 0.91 / 92.97 ± 0.67,96.65 ± 0.71 / 97.78 ± 0.47,76.03 ± 0.86 / 82.03 ± 0.66,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.29,97.41,?,?,?,✓,✗,✗,✓,57.74 ± 0.86 / 71.44 ± 0.67,66.28 ± 0.45 / 57.17 ± 0.71,70.30 ± 1.29 / 85.07 ± 0.64,75.30 ± 0.54 / 53.76 ± 0.69,36.04 ± 0.18 / 40.85 ± 0.20,92.46 ± 0.93 / 94.53 ± 0.67,97.84 ± 0.65 / 98.56 ± 0.44,83.34 ± 0.88 / 87.50 ± 0.67,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
