<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/ukrainian#cross-domain-uk-reviews'>cross_domain_uk_reviews</a>,<a href='https://euroeval.com/datasets/ukrainian#ner-uk'>ner_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#scala-uk'>scala_uk</a>,<a href='https://euroeval.com/datasets/ukrainian#multi-wiki-qa-uk'>multi_wiki_qa_uk</a>,cross_domain_uk_reviews_version,ner_uk_version,scala_uk_version,multi_wiki_qa_uk_version
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.34,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,61.25 ± 2.06 / 71.08 ± 2.66,67.02 ± 1.72 / 55.03 ± 2.93,43.24 ± 1.44 / 70.92 ± 1.01,69.59 ± 1.56 / 46.92 ± 0.65,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.37,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,62.28 ± 2.49 / 69.05 ± 3.29,67.01 ± 2.69 / 62.07 ± 2.89,40.52 ± 1.98 / 69.25 ± 1.60,69.97 ± 1.81 / 47.13 ± 1.80,16.5.0.dev0,16.4.0.dev0,16.5.0.dev0,16.4.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.41,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,60.47 ± 1.70 / 71.33 ± 1.79,70.82 ± 1.24 / 56.92 ± 3.93,42.72 ± 1.85 / 70.54 ± 1.21,62.82 ± 1.57 / 36.61 ± 1.53,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.41,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,59.07 ± 2.26 / 67.13 ± 3.30,69.76 ± 1.63 / 63.06 ± 3.24,40.85 ± 1.95 / 69.14 ± 0.96,66.13 ± 2.70 / 45.10 ± 2.50,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.41,?,?,400000.0,✓,✗,✗,✓,58.67 ± 0.89 / 61.88 ± 0.77,81.93 ± 1.14 / 71.84 ± 1.47,38.89 ± 1.98 / 65.83 ± 1.03,59.08 ± 0.38 / 31.92 ± 0.43,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.42,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,61.11 ± 1.01 / 67.66 ± 0.85,76.41 ± 1.97 / 71.52 ± 1.89,37.84 ± 1.83 / 67.58 ± 1.15,62.60 ± 0.73 / 34.33 ± 0.72,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.42,?,256128.0,1048576.0,✓,✗,✗,✓,59.49 ± 0.77 / 64.30 ± 0.59,67.18 ± 1.49 / 49.30 ± 1.05,52.39 ± 0.76 / 76.12 ± 0.37,54.68 ± 0.49 / 26.24 ± 0.56,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.43,?,256128.0,1048576.0,✓,✗,✗,✓,63.25 ± 1.59 / 66.92 ± 1.45,70.98 ± 2.65 / 60.99 ± 2.00,45.30 ± 2.28 / 72.54 ± 1.14,56.04 ± 0.86 / 29.55 ± 1.10,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.44,?,?,400000.0,✓,✗,✗,✓,58.94 ± 0.85 / 60.66 ± 0.62,83.05 ± 1.29 / 72.74 ± 1.82,38.46 ± 1.56 / 67.26 ± 0.77,56.51 ± 0.36 / 29.14 ± 0.50,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
