<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/slovene#sentinews'>sentinews</a>,<a href='https://euroeval.com/datasets/slovene#ssj500k-ner'>ssj500k_ner</a>,<a href='https://euroeval.com/datasets/slovene#scala-sl'>scala_sl</a>,<a href='https://euroeval.com/datasets/slovene#multi-wiki-qa-sl'>multi_wiki_qa_sl</a>,<a href='https://euroeval.com/datasets/slovene#mmlu-sl'>mmlu_sl</a>,<a href='https://euroeval.com/datasets/slovene#winogrande-sl'>winogrande_sl</a>,sentinews_version,ssj500k_ner_version,scala_sl_version,multi_wiki_qa_sl_version,mmlu_sl_version,winogrande_sl_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.34,?,256128.0,1048576.0,✓,✗,✗,✓,56.20 ± 1.67 / 69.30 ± 1.04,71.50 ± 3.28 / 61.38 ± 3.03,64.71 ± 3.82 / 81.34 ± 2.03,62.19 ± 0.95 / 42.19 ± 1.45,74.49 ± 2.02 / 80.94 ± 1.52,72.09 ± 4.28 / 86.80 ± 2.11,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.37,?,?,200000.0,✓,✗,✗,✓,50.59 ± 3.25 / 65.18 ± 2.31,76.38 ± 1.80 / 68.68 ± 1.62,58.28 ± 2.10 / 78.97 ± 1.04,59.92 ± 1.26 / 34.27 ± 1.77,78.24 ± 1.50 / 83.83 ± 1.14,82.69 ± 3.71 / 91.48 ± 1.86,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.37,?,100256.0,272000.0,✓,✗,✗,✓,50.72 ± 2.48 / 65.39 ± 1.79,75.31 ± 2.09 / 62.49 ± 2.57,59.76 ± 2.84 / 79.48 ± 1.38,61.38 ± 1.11 / 39.62 ± 2.23,82.65 ± 1.80 / 87.11 ± 1.34,74.61 ± 3.61 / 87.73 ± 1.88,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.39,?,256128.0,1048576.0,✓,✗,✗,✓,52.25 ± 2.38 / 66.79 ± 1.62,70.92 ± 2.34 / 63.10 ± 2.38,69.74 ± 2.78 / 83.84 ± 1.57,59.50 ± 1.32 / 34.82 ± 2.14,79.93 ± 1.20 / 85.16 ± 0.89,68.89 ± 4.76 / 85.23 ± 2.31,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.43,?,256128.0,1048576.0,✓,✗,✗,✓,54.42 ± 2.53 / 67.87 ± 1.75,65.72 ± 2.12 / 54.05 ± 2.52,61.70 ± 2.27 / 80.22 ± 1.17,56.50 ± 1.33 / 29.76 ± 1.68,80.75 ± 2.11 / 85.74 ± 1.57,69.80 ± 4.44 / 86.02 ± 2.02,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.45,?,256128.0,1048576.0,✓,✗,✗,✓,56.26 ± 2.23 / 69.52 ± 1.30,71.77 ± 3.05 / 58.02 ± 3.20,60.93 ± 3.34 / 80.28 ± 1.63,56.27 ± 1.39 / 28.62 ± 2.17,79.95 ± 1.29 / 85.12 ± 0.98,57.75 ± 4.65 / 78.52 ± 2.24,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.46,?,256128.0,1048576.0,✓,✗,✗,✓,54.25 ± 0.98 / 68.24 ± 0.65,70.24 ± 1.25 / 50.78 ± 1.40,62.19 ± 1.88 / 80.31 ± 0.98,59.27 ± 0.51 / 32.75 ± 0.91,74.77 ± 1.05 / 81.09 ± 0.81,63.34 ± 2.11 / 82.11 ± 1.08,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.50,?,?,400000.0,✓,✗,✗,✓,51.58 ± 1.32 / 65.99 ± 0.97,80.44 ± 0.77 / 66.57 ± 1.38,56.73 ± 1.30 / 78.19 ± 0.63,60.97 ± 0.67 / 40.33 ± 1.12,79.40 ± 0.67 / 84.61 ± 0.50,53.52 ± 2.29 / 77.97 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.52,?,256128.0,1048576.0,✓,✗,✗,✓,58.33 ± 1.96 / 70.80 ± 1.27,68.53 ± 2.28 / 59.73 ± 1.86,58.98 ± 3.64 / 78.52 ± 1.85,56.27 ± 1.39 / 28.62 ± 2.17,79.78 ± 1.34 / 85.04 ± 1.05,59.26 ± 5.70 / 80.70 ± 2.80,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
